Municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
FLORENTINO AMEGHINO,8.869,9.007,9.082,9.155,9.228,9.300,9.371,9.441,9.510,9.578,9.645,9.711,10.790,9.839,9.903,9.964
GENERAL ALVARADO,39.594,40.293,40.744,41.191,41.632,42.066,42.494,42.917,43.334,43.744,44.149,44.546,45.526,45.326,45.707,46.083
GENERAL ALVEAR,11.130,11.260,11.286,11.311,11.336,11.361,11.385,11.410,11.433,11.456,11.480,11.503,13.031,11.546,11.568,11.590
GENERAL ARENALES,14.903,15.044,15.047,15.048,15.050,15.052,15.054,15.056,15.058,15.059,15.061,15.062,16.350,15.066,15.068,15.070
GENERAL BELGRANO,17.365,17.665,17.856,18.045,18.230,18.414,18.594,18.773,18.949,19.123,19.293,19.461,20.791,19.790,19.951,20.110
GENERAL GUIDO,2.816,2.847,2.852,2.857,2.862,2.867,2.872,2.877,2.882,2.887,2.892,2.897,3.174,2.906,2.910,2.915
GENERAL JUAN MADARIAGA,19.747,20.062,20.241,20.419,20.594,20.767,20.938,21.106,21.273,21.436,21.596,21.755,22.624,22.065,22.217,22.367
GENERAL LA MADRID,10.783,10.866,10.839,10.814,10.788,10.763,10.738,10.713,10.689,10.665,10.642,10.619,11.618,10.573,10.551,10.529
GENERAL LAS HERAS,14.889,15.215,15.472,15.727,15.978,16.226,16.469,16.710,16.948,17.182,17.412,17.639,18.022,18.083,18.300,18.514
GENERAL LAVALLE,3.700,3.792,3.870,3.947,4.023,4.099,4.172,4.246,4.318,4.389,4.459,4.528,4.870,4.663,4.729,4.794
GENERAL PAZ,11.202,11.343,11.392,11.441,11.489,11.536,11.583,11.629,11.674,11.719,11.763,11.806,14.207,11.891,11.932,11.973
GENERAL PINTO,11.261,11.379,11.394,11.409,11.423,11.438,11.452,11.467,11.481,11.494,11.508,11.521,12.941,11.547,11.560,11.573
GENERAL PUEYRREDON,618.989,627.723,631.064,634.372,637.637,640.855,644.055,647.215,650.332,653.406,656.456,659.462,667.082,665.357,668.242,671.085
GENERAL RODR GUEZ,87.185,89.700,92.041,94.357,96.643,98.895,101.116,103.308,105.469,107.599,109.695,111.759,142.709,115.802,117.780,119.727
GENERAL SAN MART N,414.196,418.790,419.531,420.271,421.009,421.725,422.440,423.153,423.877,424.567,425.265,425.911,450.575,427.191,427.783,428.283
GENERAL VIAMONTE,18.078,18.288,18.343,18.397,18.451,18.505,18.556,18.608,18.659,18.709,18.758,18.807,22.649,18.903,18.949,18.995
GENERAL VILLEGAS,30.864,31.324,31.555,31.784,32.009,32.232,32.451,32.667,32.880,33.090,33.297,33.501,35.251,33.899,34.094,34.286
GUAMIN ,11.826,11.988,12.058,12.127,12.195,12.263,12.329,12.394,12.458,12.522,12.584,12.646,11.801,12.766,12.825,12.883
HIP LITO YRIGOYEN,9.585,9.722,9.784,9.847,9.909,9.970,10.029,10.089,10.148,10.205,10.262,10.318,10.661,10.427,10.480,10.533
HURLINGHAM,181.241,183.764,184.914,186.052,187.174,188.280,189.371,190.447,191.508,192.554,193.583,194.597,185.641,196.582,197.553,198.509
ITUZAING ,167.824,170.292,171.536,172.766,173.981,175.177,176.356,177.521,178.670,179.801,180.914,182.011,180.232,183.959,184.910,185.845
JOS  C. PAZ,265.981,271.557,275.801,279.999,284.145,288.228,292.304,296.279,300.035,303.896,307.443,311.187,326.992,318.364,321.710,324.990
JUN N,90.305,92.712,92.811,92.911,93.013,93.115,93.168,93.221,93.274,93.329,93.384,93.440,103.787,93.553,93.611,93.670
LA COSTA,69.633,70.933,71.826,72.708,73.580,74.439,75.285,76.121,76.945,77.756,78.554,79.341,100.689,80.883,81.637,82.379
LA MATANZA,1.775.816,1.830.526,1.883.251,1.935.394,1.986.784,2.037.428,2.087.359,2.136.695,2.185.597,2.233.860,2.281.194,2.327.874,1.841.247,2.419.872,2.464.843,2.509.547
LA PLATA,654.324,664.746,670.477,676.195,681.831,687.378,692.779,698.164,703.504,708.733,713.947,719.013,768.470,728.912,733.741,738.505
LAN S,459.263,463.478,463.401,463.325,463.251,463.178,463.106,463.034,462.964,462.895,462.827,462.760,461.267,462.628,462.564,462.501
LAPRIDA,10.210,10.353,10.417,10.481,10.544,10.606,10.668,10.728,10.788,10.847,10.905,10.962,11.646,11.074,11.128,11.182
LAS FLORES,23.871,24.127,24.157,24.186,24.215,24.244,24.272,24.300,24.328,24.355,24.382,24.410,27.239,24.462,24.487,24.513
LEANDRO N. ALEM,16.799,16.995,17.047,17.099,17.150,17.200,17.250,17.300,17.348,17.396,17.442,17.489,17.266,17.580,17.624,17.667
LEZAMA,5.674,5.742,5.810,5.877,5.943,6.008,6.072,6.135,6.198,6.259,6.320,6.379,6.221,6.496,6.553,6.610
LINCOLN,41.808,42.216,42.227,42.238,42.248,42.259,42.270,42.281,42.291,42.302,42.312,42.323,45.506,42.342,42.353,42.363
LOBER A,17.523,17.736,17.799,17.863,17.925,17.986,18.047,18.107,18.166,18.224,18.281,18.338,18.243,18.447,18.502,18.555
LOBOS,36.172,36.765,37.132,37.496,37.854,38.208,38.557,38.900,39.239,39.573,39.901,40.225,41.760,40.858,41.168,41.473
LOMAS DE ZAMORA,616.279,624.289,627.150,630.029,632.842,635.593,638.287,640.916,643.437,645.880,648.312,650.678,690.323,655.122,657.218,659.249
LUJ N,106.273,108.250,109.603,110.942,112.263,113.564,114.848,116.114,117.364,118.593,119.805,120.998,111.008,123.334,124.477,125.602
MAGDALENA,19.301,19.121,19.315,19.508,19.697,19.883,20.041,20.195,20.346,20.493,20.613,20.729,26.830,20.953,21.059,21.163
MAIP ,10.188,10.263,10.275,10.288,10.301,10.314,10.328,10.343,10.357,10.372,10.388,10.402,11.323,10.435,10.452,10.469
MALVINAS ARGENTINAS,322.375,328.087,331.834,335.491,339.152,342.798,346.406,349.867,353.281,356.643,359.953,363.263,350.674,369.648,372.771,375.896
MAR CHIQUITA,21.279,21.782,22.199,22.612,23.019,23.420,23.816,24.206,24.591,24.971,25.344,25.712,33.110,26.432,26.784,27.131
MARCOS PAZ,54.181,55.618,56.887,58.145,59.385,60.607,61.811,63.001,64.174,65.329,66.466,67.586,67.011,69.780,70.853,71.909
MERCEDES,63.284,64.184,64.607,65.025,65.437,65.844,66.245,66.640,67.030,67.415,67.793,68.165,72.980,68.895,69.252,69.603
MERLO,528.494,539.009,546.383,554.007,561.566,569.165,576.737,584.267,591.763,599.119,606.413,613.509,582.486,626.975,633.540,639.681
MONTE,21.034,21.357,21.638,21.915,22.207,22.482,22.832,23.127,23.396,23.699,23.896,24.198,24.868,24.796,25.103,25.393
MONTE HERMOSO,6.499,6.630,6.718,6.807,6.895,6.980,7.064,7.147,7.230,7.310,7.390,7.468,8.465,7.621,7.695,7.769
MORENO,452.505,463.151,472.015,481.041,489.912,498.713,507.403,516.093,524.675,533.292,541.691,549.930,576.632,566.103,574.034,581.729
MOR N,321.109,323.680,323.076,322.489,321.920,321.351,320.781,320.218,319.674,319.138,318.632,318.104,331.183,317.073,316.559,316.073
NAVARRO,17.054,17.293,17.399,17.505,17.609,17.712,17.815,17.914,18.013,18.110,18.206,18.301,19.899,18.485,18.575,18.665
NECOCHEA,92.933,93.970,94.207,94.442,94.673,94.902,95.126,95.348,95.568,95.783,95.995,96.204,102.110,96.614,96.814,97.011
OLAVARR A,111.708,113.339,114.137,114.926,115.706,116.473,117.230,117.977,118.715,119.441,120.154,120.858,125.751,122.236,122.911,123.574
PATAGONES,30.207,30.610,30.773,30.935,31.094,31.250,31.405,31.557,31.708,31.856,32.002,32.146,37.646,32.427,32.565,32.701
PEHUAJ ,39.776,40.249,40.389,40.527,40.664,40.798,40.930,41.060,41.189,41.316,41.441,41.564,44.783,41.805,41.923,42.039
PELLEGRINI,5.887,5.929,5.960,5.972,5.983,5.995,6.007,6.020,6.032,6.045,6.058,6.072,7.143,6.099,6.113,6.128
PERGAMINO,104.590,105.906,106.387,106.863,107.332,107.794,108.251,108.700,109.145,109.582,110.012,110.435,115.340,111.266,111.672,112.071
PILA,3.640,3.697,3.728,3.760,3.791,3.821,3.851,3.880,3.909,3.937,3.966,3.994,4.642,4.048,4.074,4.100
PILAR,299.077,307.852,316.084,324.228,332.268,340.189,347.998,355.707,363.309,370.798,378.167,385.426,394.754,399.645,406.599,413.447
PINAMAR,25.728,26.410,27.015,27.614,28.206,28.789,29.364,29.931,30.491,31.042,31.584,32.119,39.449,33.166,33.677,34.182
PRESIDENTE PER N,81.141,83.780,86.372,88.936,91.467,93.960,96.420,98.847,101.239,103.597,105.918,108.203,102.106,112.680,114.868,117.024
PUAN,15.743,15.816,15.761,15.668,15.576,15.486,15.396,15.309,15.223,15.137,15.054,14.972,16.613,14.811,14.733,14.657
PUNTA INDIO,9.888,10.028,10.093,10.156,10.219,10.282,10.343,10.404,10.463,10.521,10.579,10.635,12.297,10.747,10.802,10.855
QUILMES,582.943,594.412,602.436,610.259,618.106,626.006,633.913,641.742,649.480,657.123,664.783,672.199,633.391,686.466,693.277,699.997
RAMALLO,33.042,33.697,34.173,34.644,35.109,35.567,36.018,36.463,36.902,37.335,37.761,38.180,39.730,39.003,39.404,39.800
RAUCH,15.176,15.385,15.476,15.566,15.656,15.743,15.830,15.916,16.000,16.083,16.165,16.246,16.635,16.404,16.481,16.557
