Periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2014;2014;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;2;;;;;;;;;
1/1/2014;2014;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2015;2015;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2015;2015;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;29;;;;;;;;;
1/1/2015;2015;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2015;2015;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2016;2016;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2016;2016;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;40;;;;;;;;;
1/1/2016;2016;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2016;2016;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2017;2017;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2017;2017;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;42;;;;;;;;;
1/1/2017;2017;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2017;2017;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2018;2018;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2018;2018;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;33;;;;;;;;;
1/1/2018;2018;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2018;2018;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2019;2019;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2019;2019;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;26;;;;;;;;;
1/1/2019;2019;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2019;2019;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;4;;;;;;;;;
1/1/2020;2020;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2020;2020;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;70;;;;;;;;;
1/1/2020;2020;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;3;;;;;;;;;
1/1/2020;2020;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2021;2021;Adolfo Gonzáles Chaves;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2021;2021;Adolfo Gonzáles Chaves;Total de víctimas de lesiones dolosas;70;;;;;;;;;
1/1/2021;2021;Adolfo Gonzáles Chaves;Total de víctimas de otros delitos contra la integridad sexual;9;;;;;;;;;
1/1/2021;2021;Adolfo Gonzáles Chaves;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2014;2014;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2014;2014;Alberti;Total de víctimas de lesiones dolosas;31;;;;;;;;;
1/1/2014;2014;Alberti;Total de víctimas de otros delitos contra la integridad sexual;3;;;;;;;;;
1/1/2014;2014;Alberti;Total de víctimas de violaciones;-;;;;;;;;;
