WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono,Representa
"POINT (-61.291117 -38.981366)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MONTE HERMOSO,SAN MARTIN Y MENDOZA,Monte Hermoso,2921481066/2921482314/2921482293,COMISARIO ALMAZA JORGE HORACIO
"POINT (-61.29521427 -38.72051775)",Comisaría,Ministerio de Seguridad,SUBCRIA.ORIENTE,SARMIENTO 557,Coronel Dorrego,2983495007/2983495401,OFICIAL PRINCIPAL ALMAZA HUGO ALBERTO
"POINT (-61.305901 -34.304878)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.ARENALES,9 DE JULIO 90,General Arenales,2353460062/2353460213/2353461130,SUBCOMISARIO LUGANO LUIS OSMAR
"POINT (-61.349266 -37.984178)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CORONEL PRINGLES,CABRERA Y ALEM n° 498,Coronel Pringles,2922462115/2922462061,SUBCOMISARIO LUCERO ALEXIS LUCIANO
"POINT (-61.526699 -34.867043)",Comisaría,Ministerio de Seguridad,CRIA.LINCOLN,ALEM 859,Lincoln,02355-430535-02355,COMISARIO SARCO MARIANO JESUS
"POINT (-61.539955 -34.500029)",Comisaría,Ministerio de Seguridad,CRIA.VEDIA,ALEM 273 - LEANDRO N ALEM,Leandro N. Alem,02354--420442,COMISARIO BURDIZ ROBERTO CARLOS
"POINT (-61.715983 -36.298034)",Comisaría,Ministerio de Seguridad,EST.POL.COM.HENDERSON,ESPANA 639,Hipólito Yrigoyen,2314452335/2314452055,COMISARIO MANZINI CARLOS AMERICO
"POINT (-61.744888 -36.598746)",Comisaría,Ministerio de Seguridad,CRIA.MUJER Y FLIA.DAIREAUX,PELLEGRINI 388,Daireaux,02316 452621,SUBCOMISARIO DURISOTTI HERNAN DIEGO
"POINT (-61.7457109 -36.5992839)",Comisaría,Ministerio de Seguridad,EST.POL.COM.DAIREAUX,PELLEGRINI 398,Daireaux,,SUBCOMISARIO CUFRE CARLOS ARIEL
"POINT (-61.891133 -34.765572)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.PINTO,MITRE 402 - GENERAL PINTO,General Pinto,02356-420013,COMISARIO LAVASELLI RENATO MAXIMILIANO
"POINT (-61.897473 -35.809539)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PEHUAJO,DEL VALLE 550,Pehuajó,02396-477002,COMISARIO ARVIZU CESAR LUIS
"POINT (-61.92112044 -37.50892192)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CNEL.SUAREZ 3RA.,DOS ALEMANAS Y PRINGLES,Coronel Suárez,2926431540,COMISARIO CAROLA HECTOR ALBERTO
"POINT (-61.939116 -37.456748)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CORONEL SUAREZ,RIVAS Y LAS HERAS,Coronel Suárez,2922462115/2922462061,SUBCOMISARIO GONZALEZ MAURICIO ANTONIO
"POINT (-61.94421308 -37.06451349)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CORONEL SUAREZ 2DA,GAHAN Y FUNDADORES,Coronel Suárez,2933432235,SUBCOMISARIO ULLMANN FACUNDO ALBERTO
"POINT (-61.97212222 -35.14651682)",Comisaría,Ministerio de Seguridad,SUBCRIA.ROBERTS,DUGGAN 1680,Lincoln,2355498001,SUBCOMISARIO JAUREGUI CARLOS ALBERTO
"POINT (-62.074267 -38.879599)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PUNTA ALTA,MURATURE Y RIVADAVIA - CORONEL DE MARINA LEONARDO ROSALES ,Coronel Rosales,02932421444/424389,COMISARIO CHEPPI GUSTAVO DAVID
"POINT (-62.07448631 -38.87856762)",Comisaría,Ministerio de Seguridad,,MURATURE 572,Coronel Rosales,2932424389/2932424389/2932427933,
"POINT (-62.221731 -38.10066)",Comisaría,Ministerio de Seguridad,EST.POL.COM.TORNQUIST,AVE SARMIENTO  72,Tornquist,0291-4941071/4940981,COMISARIO PEREZ DANIEL ALEJANDRO
"POINT (-62.247531 -38.729379)",Comisaría,Ministerio de Seguridad,CRIA.BAHIA BLANCA 4TA,GARIBALDI 262,Bahía Blanca,0291-48208216/4816498,SUBCOMISARIO OBECHAKA JOSE LUIS
"POINT (-62.263251 -38.727284)",Comisaría,Ministerio de Seguridad,CRIA.BAHIA BLANCA 1RA,BERUTTI 650,Bahía Blanca,0291-4551902,COMISARIO SAINT GERMAIN ORLANDO ANIBAL
"POINT (-62.266329 -38.782878)",Comisaría,Ministerio de Seguridad,CRIA.BAHIA BLANCA 3RA,SAN MARTIN 3611,Bahía Blanca,0291-4550038/551,COMISARIO TROVATO RODRIGO FABIAN
"POINT (-62.277856 -38.720583)",Comisaría,Ministerio de Seguridad,CRIA.BAHIA BLANCA 2DA,ROCA 557,Bahía Blanca,0291-4556745/6643,COMISARIO MANSILLA ANDRES EMIR
"POINT (-62.302151 -38.715919)",Comisaría,Ministerio de Seguridad,CRIA.BAHIA BLANCA 5TA,DON BOSCO 1800,Bahía Blanca,0291-4552984/4555300,COMISARIO AVELDAÑO SERGIO GUSTAVO
"POINT (-62.391999 -38.723403)",Comisaría,Ministerio de Seguridad,SUBCRIA.GRAL.CERRI,ROQUE PEÑA 372,Bahía Blanca,2914846033,SUBCOMISARIO CAMPETELLI HUGO ALFREDO
"POINT (-62.40705595 -37.60568016)",Comisaría,Ministerio de Seguridad,CRIA.SAAVEDRA 1RA PIGUE,URQUIZA 276,Saavedra,02923-472103/475814,COMISARIO LARREA DIEGO MIGUEL
"POINT (-62.40863271 -37.60627971)",Comisaría,Ministerio de Seguridad,CRIA.SAAVEDRA 2DA,SAN MARTIN 494,Saavedra,02923-497110,SUBCOMISARIO UTHURRALT MARTIN EMILIO
"POINT (-62.41286 -37.011088)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GUAMINI 1RA,ROJAS 480,Guaminí,2929430148/2929432014/2929430025,SUBCOMISARIO PEÑAS MARTIN DARIO
"POINT (-62.419349 -35.390383)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CARLOS TEJEDOR,SAN MARTIN 176,Carlos Tejedor,2357421020/2357420425,COMISARIO MANAGO LUIS DARIO
"POINT (-62.467982 -34.844756)",Comisaría,Ministerio de Seguridad,EST.POL.COM.AMEGHINO,VIOLANTE 317 - FLORENTINO AMEGHINO,Florentino Ameghino,03388-471002,COMISARIO VILLARINO NESTOR DAVID
"POINT (-62.54448519 -36.27904958)",Comisaría,Ministerio de Seguridad,SUBCRIA.30 DE AGOSTO,GRAL PAZ 165,Trenque Lauquen,2392471383,SUBCOMISARIO GAMBIER MARIA JOSE
"POINT (-62.67754841 -39.50300689)",Comisaría,Ministerio de Seguridad,EST.POL.COM.VILLARINO 2DA,3 N° 1648,Villarino,2928420120,COMISARIO NAVARRETE MARCOS
"POINT (-62.68742883 -38.83117013)",Comisaría,Ministerio de Seguridad,,COUSTE 720,Villarino,,
"POINT (-62.693911 -38.830855)",Comisaría,Ministerio de Seguridad,EST.POL.COM.VILLARINO 1RA,MITRE 696,Villarino,2927432202,COMISARIO TOARMINA ARIEL ALBERTO SEBASTIAN
"POINT (-62.734187 -35.974388)",Comisaría,Ministerio de Seguridad,CRIA.TRENQUE LAUQUEN,ROCA 572,Trenque Lauquen,02392-422213/431100,COMISARIO ARREGUI MARCO ANTONIO
"POINT (-62.762692 -37.17927)",Comisaría,Ministerio de Seguridad,EST.POL.COM.ADOLFO ALSINA,PELLEGRINI 1151,Adolfo Alsina,2936430519,COMISARIO LOBATO ERIK MARTIN
"POINT (-62.76696854 -37.54882171)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PUAN 2DA,ESPANA 58,Puan,2924420010,SUBCOMISARIO GONZALEZ GASTON ALBERTO
"POINT (-62.767793 -37.548264)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PUAN,SAN MARTIN 651,Puan,2923498614/2923498688,
"POINT (-62.861734 -36.459391)",Comisaría,Ministerio de Seguridad,CRIA.TRES LOMAS,RIVADAVIA 165,Tres Lomas,02394-420040/420444,COMISARIO ROYG MATIAS IVAN
"POINT (-62.95666392 -40.79367314)",Comisaría,Ministerio de Seguridad,SUBEST.POL.COM.C.PATAGONES,COMODORO RIVADAVIA 574 ,Patagones,2920463885/2920464037,
"POINT (-62.960758 -36.751386)",Comisaría,Ministerio de Seguridad,CRIA.SALLIQUELO,9 DE JULIO 372,Salliqueló,02394-480013/480035,SUBCOMISARIO D'AGOSTINO CRISTIAN ARIEL
"POINT (-62.975199 -35.489831)",Comisaría,Ministerio de Seguridad,CRIA.RIVADAVIA,CACHAU 72,Rivadavia,02337-454030/453002,SUBCOMISARIO ORELLANO GUILLERMO GASTON
"POINT (-62.98268 -40.794427)",Comisaría,Ministerio de Seguridad,EST.POL.COM.C.DE PATAGONES,RIVADAVIA 574,Patagones,2920463885/2920464037,COMISARIO ROMERO MIGUEL ANTONIO
"POINT (-63.015308 -35.033453)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.VILLEGAS,MORENO 728,General Villegas,3388423826/3388421015/3388421994,COMISARIO COLAREDA CESAR ABEL
"POINT (-63.16575 -36.268347)",Comisaría,Ministerio de Seguridad,CRIA.CARLOS PELLEGRINI,MORENO 392,Pellegrini,2392498113/2392498135,COMISARIO BASELLI HERNAN LUIS
