barrio,ingresos_totales,anio
PATERNAL,300,2019
VILLA CRESPO,300,2019
VILLA ORTUZAR,300,2019
CONSTITUCION,12000,2019
MONSERRAT,12000,2019
PUERTO MADERO,12000,2019
RETIRO,12000,2019
SAN NICOLAS,12000,2019
SAN TELMO,12000,2019
FLORES,10000,2019
PARQUE CHACABUCO,10000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,19000,2019
PARQUE CHACABUCO,19000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
RECOLETA,28000,2019
RECOLETA,20000,2019
BALVANERA,6000,2019
SAN CRISTOBAL,6000,2019
ALMAGRO,0,2019
BOEDO,0,2019
ALMAGRO,28000,2019
BOEDO,28000,2019
ALMAGRO,35000,2019
BOEDO,35000,2019
PALERMO,40000,2019
BELGRANO,33000,2019
COLEGIALES,33000,2019
NUÑEZ,33000,2019
BELGRANO,10000,2019
COLEGIALES,10000,2019
NUÑEZ,10000,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
AGRONOMIA,25000,2019
CHACARITA,25000,2019
PARQUE CHAS,25000,2019
PATERNAL,25000,2019
VILLA CRESPO,25000,2019
VILLA ORTUZAR,25000,2019
AGRONOMIA,24000,2019
CHACARITA,24000,2019
PARQUE CHAS,24000,2019
PATERNAL,24000,2019
VILLA CRESPO,24000,2019
VILLA ORTUZAR,24000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,39000,2019
PARQUE CHACABUCO,39000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
RECOLETA,18000,2019
CONSTITUCION,25000,2019
MONSERRAT,25000,2019
PUERTO MADERO,25000,2019
RETIRO,25000,2019
SAN NICOLAS,25000,2019
SAN TELMO,25000,2019
RECOLETA,5000,2019
RECOLETA,5000,2019
RECOLETA,15000,2019
BELGRANO,7200,2019
COLEGIALES,7200,2019
NUÑEZ,7200,2019
BELGRANO,3000,2019
COLEGIALES,3000,2019
NUÑEZ,3000,2019
BALVANERA,32000,2019
SAN CRISTOBAL,32000,2019
VILLA DEL PARQUE,12000,2019
VILLA DEVOTO,12000,2019
VILLA GRAL. MITRE,12000,2019
VILLA SANTA RITA,12000,2019
RECOLETA,20000,2019
RECOLETA,35000,2019
BELGRANO,40000,2019
COLEGIALES,40000,2019
NUÑEZ,40000,2019
BELGRANO,0,2019
COLEGIALES,0,2019
NUÑEZ,0,2019
BELGRANO,0,2019
COLEGIALES,0,2019
NUÑEZ,0,2019
RECOLETA,6000,2019
RECOLETA,12200,2019
RECOLETA,14000,2019
RECOLETA,25000,2019
CONSTITUCION,25000,2019
MONSERRAT,25000,2019
PUERTO MADERO,25000,2019
RETIRO,25000,2019
SAN NICOLAS,25000,2019
SAN TELMO,25000,2019
VILLA LUGANO,1600,2019
VILLA RIACHUELO,1600,2019
VILLA SOLDATI,1600,2019
VILLA LUGANO,0,2019
VILLA RIACHUELO,0,2019
VILLA SOLDATI,0,2019
CONSTITUCION,15000,2019
MONSERRAT,15000,2019
PUERTO MADERO,15000,2019
RETIRO,15000,2019
SAN NICOLAS,15000,2019
SAN TELMO,15000,2019
FLORES,28000,2019
PARQUE CHACABUCO,28000,2019
FLORES,21700,2019
PARQUE CHACABUCO,21700,2019
FLORES,22000,2019
PARQUE CHACABUCO,22000,2019
VILLA LUGANO,8000,2019
VILLA RIACHUELO,8000,2019
VILLA SOLDATI,8000,2019
VILLA LUGANO,1500,2019
VILLA RIACHUELO,1500,2019
VILLA SOLDATI,1500,2019
VILLA LUGANO,0,2019
VILLA RIACHUELO,0,2019
VILLA SOLDATI,0,2019
BARRACAS,29000,2019
BOCA,29000,2019
NUEVA POMPEYA,29000,2019
PARQUE PATRICIOS,29000,2019
BARRACAS,26000,2019
BOCA,26000,2019
NUEVA POMPEYA,26000,2019
PARQUE PATRICIOS,26000,2019
BARRACAS,29000,2019
BOCA,29000,2019
NUEVA POMPEYA,29000,2019
PARQUE PATRICIOS,29000,2019
CONSTITUCION,17000,2019
MONSERRAT,17000,2019
PUERTO MADERO,17000,2019
RETIRO,17000,2019
SAN NICOLAS,17000,2019
SAN TELMO,17000,2019
VILLA LUGANO,5000,2019
VILLA RIACHUELO,5000,2019
VILLA SOLDATI,5000,2019
VILLA LUGANO,10000,2019
VILLA RIACHUELO,10000,2019
VILLA SOLDATI,10000,2019
VILLA LUGANO,0,2019
VILLA RIACHUELO,0,2019
VILLA SOLDATI,0,2019
FLORES,8000,2019
PARQUE CHACABUCO,8000,2019
FLORES,16000,2019
PARQUE CHACABUCO,16000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORESTA,25000,2019
MONTE CASTRO,25000,2019
VELEZ SARSFIELD,25000,2019
VERSALLES,25000,2019
VILLA LURO,25000,2019
VILLA REAL,25000,2019
FLORESTA,8000,2019
MONTE CASTRO,8000,2019
VELEZ SARSFIELD,8000,2019
VERSALLES,8000,2019
VILLA LURO,8000,2019
VILLA REAL,8000,2019
FLORESTA,32000,2019
MONTE CASTRO,32000,2019
VELEZ SARSFIELD,32000,2019
VERSALLES,32000,2019
VILLA LURO,32000,2019
VILLA REAL,32000,2019
FLORESTA,0,2019
MONTE CASTRO,0,2019
VELEZ SARSFIELD,0,2019
VERSALLES,0,2019
VILLA LURO,0,2019
VILLA REAL,0,2019
AGRONOMIA,30000,2019
CHACARITA,30000,2019
PARQUE CHAS,30000,2019
PATERNAL,30000,2019
VILLA CRESPO,30000,2019
VILLA ORTUZAR,30000,2019
AGRONOMIA,26000,2019
CHACARITA,26000,2019
PARQUE CHAS,26000,2019
PATERNAL,26000,2019
VILLA CRESPO,26000,2019
VILLA ORTUZAR,26000,2019
LINIERS,23000,2019
MATADEROS,23000,2019
PARQUE AVELLANEDA,23000,2019
LINIERS,30000,2019
MATADEROS,30000,2019
PARQUE AVELLANEDA,30000,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,1500,2019
MATADEROS,1500,2019
PARQUE AVELLANEDA,1500,2019
LINIERS,15000,2019
MATADEROS,15000,2019
PARQUE AVELLANEDA,15000,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
BELGRANO,33000,2019
COLEGIALES,33000,2019
NUÑEZ,33000,2019
BELGRANO,45000,2019
COLEGIALES,45000,2019
NUÑEZ,45000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,12000,2019
PARQUE CHACABUCO,12000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
BALVANERA,40000,2019
SAN CRISTOBAL,40000,2019
BALVANERA,70000,2019
SAN CRISTOBAL,70000,2019
PALERMO,33000,2019
