subtipo,barrio,mes,anio,count
Hurto total,PALERMO,ENERO,2022,368
Robo total,BALVANERA,MARZO,2016,368
Robo total,BALVANERA,MARZO,2017,368
Robo total,FLORES,ABRIL,2016,367
Hurto total,BALVANERA,JULIO,2023,366
Hurto total,PALERMO,DICIEMBRE,2017,366
Robo total,PALERMO,FEBRERO,2019,366
Robo total,PALERMO,MAYO,2019,366
Robo total,FLORES,JULIO,2016,365
Robo total,FLORES,AGOSTO,2016,364
Robo total,BALVANERA,MARZO,2018,364
Robo total,FLORES,SEPTIEMBRE,2022,363
Hurto total,SAN NICOLAS,OCTUBRE,2019,363
Hurto total,PALERMO,MAYO,2022,363
Robo total,BALVANERA,ENERO,2016,363
Robo total,FLORES,AGOSTO,2022,362
Robo total,PALERMO,JUNIO,2019,361
Robo total,BALVANERA,SEPTIEMBRE,2023,361
Robo total,PALERMO,NOVIEMBRE,2021,360
Hurto total,SAN NICOLAS,SEPTIEMBRE,2019,359
Hurto total,PALERMO,FEBRERO,2022,359
Hurto total,BALVANERA,SEPTIEMBRE,2019,359
Robo total,FLORES,MARZO,2018,358
Robo total,FLORES,SEPTIEMBRE,2016,358
Robo total,PALERMO,ABRIL,2018,357
Robo total,PALERMO,ENERO,2022,357
Robo total,PALERMO,FEBRERO,2017,357
Hurto total,SAN NICOLAS,JULIO,2023,356
Robo total,BALVANERA,DICIEMBRE,2019,356
Hurto total,SAN NICOLAS,NOVIEMBRE,2023,356
Robo total,BALVANERA,ENERO,2020,356
Robo total,PALERMO,JULIO,2018,355
Hurto total,PALERMO,SEPTIEMBRE,2019,355
Robo total,BALVANERA,SEPTIEMBRE,2016,354
Robo total,RECOLETA,NOVIEMBRE,2018,354
Hurto total,BALVANERA,SEPTIEMBRE,2022,353
Robo total,FLORES,JULIO,2022,353
Robo total,BALVANERA,JUNIO,2023,351
Robo total,BALVANERA,JULIO,2018,351
Robo total,PALERMO,ABRIL,2019,351
Robo total,RECOLETA,JUNIO,2023,350
Hurto total,PALERMO,ENERO,2020,349
Hurto total,PALERMO,NOVIEMBRE,2021,349
Robo total,BALVANERA,OCTUBRE,2023,349
Hurto total,BALVANERA,DICIEMBRE,2019,348
Hurto total,BALVANERA,JUNIO,2019,348
Robo total,CABALLITO,AGOSTO,2016,348
Robo total,FLORES,ABRIL,2023,348
Robo total,ALMAGRO,NOVIEMBRE,2018,347
Hurto total,BALVANERA,DICIEMBRE,2018,346
Robo total,BALVANERA,AGOSTO,2022,345
Robo total,BALVANERA,MARZO,2022,345
Hurto total,BALVANERA,DICIEMBRE,2022,344
Hurto total,PALERMO,NOVIEMBRE,2016,342
Robo total,BALVANERA,SEPTIEMBRE,2022,341
Hurto total,BALVANERA,MARZO,2023,341
Hurto total,BALVANERA,DICIEMBRE,2023,341
Robo total,BALVANERA,JUNIO,2016,340
