subtipo,barrio,mes,anio,count
Robo total,BOCA,MAYO,2021,59
Lesiones Dolosas,BARRACAS,FEBRERO,2020,59
Amenazas,VILLA LUGANO,ABRIL,2022,59
Hurto total,MATADEROS,ENERO,2018,59
Hurto total,MATADEROS,MAYO,2021,59
Robo total,SAN TELMO,JUNIO,2018,59
Robo total,SAN TELMO,FEBRERO,2022,59
Robo total,NUÑEZ,JUNIO,2019,59
Hurto total,NUEVA POMPEYA,OCTUBRE,2019,59
Lesiones por siniestros viales,PALERMO,DICIEMBRE,2022,59
Robo total,BOCA,JUNIO,2021,59
Hurto total,SAN CRISTOBAL,ABRIL,2019,59
Hurto total,CHACARITA,ABRIL,2023,59
Hurto total,MONTE CASTRO,AGOSTO,2023,59
Lesiones Dolosas,RECOLETA,OCTUBRE,2016,59
Lesiones Dolosas,BALVANERA,ABRIL,2018,59
Hurto total,BOEDO,SEPTIEMBRE,2021,59
Lesiones Dolosas,CABALLITO,FEBRERO,2016,59
Robo total,COLEGIALES,MAYO,2022,59
Amenazas,VILLA LUGANO,ENERO,2021,59
Robo total,MONTE CASTRO,MARZO,2017,59
Lesiones Dolosas,CONSTITUCION,ABRIL,2022,59
Robo total,COLEGIALES,FEBRERO,2023,59
Robo total,VILLA LURO,JULIO,2016,59
Robo total,PARQUE AVELLANEDA,DICIEMBRE,2017,59
Hurto total,NUÑEZ,NOVIEMBRE,2019,59
Robo total,FLORESTA,ABRIL,2017,59
Robo total,BOEDO,NOVIEMBRE,2021,59
Amenazas,VILLA LUGANO,FEBRERO,2020,59
Robo total,BOCA,AGOSTO,2021,59
Robo total,SAAVEDRA,DICIEMBRE,2022,59
Robo total,PARQUE PATRICIOS,JULIO,2021,59
Amenazas,BALVANERA,ENERO,2020,58
Hurto total,MONSERRAT,AGOSTO,2021,58
Hurto total,PARQUE AVELLANEDA,JUNIO,2022,58
Lesiones Dolosas,ALMAGRO,DICIEMBRE,2018,58
Robo total,SAAVEDRA,MARZO,2023,58
Hurto total,PARQUE AVELLANEDA,JULIO,2023,58
Hurto total,BOEDO,FEBRERO,2019,58
Robo total,NUÑEZ,MAYO,2018,58
Lesiones Dolosas,CONSTITUCION,NOVIEMBRE,2019,58
Hurto total,BOEDO,ENERO,2020,58
Lesiones Dolosas,VILLA LUGANO,MARZO,2018,58
Robo total,SAN TELMO,FEBRERO,2020,58
Hurto total,LINIERS,OCTUBRE,2019,58
Hurto total,VILLA CRESPO,JULIO,2017,58
Hurto total,BARRACAS,JUNIO,2021,58
Hurto total,VILLA SOLDATI,NOVIEMBRE,2022,58
Hurto total,BARRACAS,MARZO,2016,58
Lesiones Dolosas,FLORES,MARZO,2021,58
Robo total,SAN TELMO,ABRIL,2022,58
Hurto total,VILLA DEVOTO,DICIEMBRE,2016,58
Hurto total,SAAVEDRA,SEPTIEMBRE,2018,58
Hurto total,BARRACAS,AGOSTO,2016,58
Hurto total,NUÑEZ,MARZO,2021,58
Robo total,COLEGIALES,NOVIEMBRE,2021,58
Robo total,SAN TELMO,ENERO,2020,58
Amenazas,BALVANERA,MARZO,2019,58
Robo total,VILLA URQUIZA,FEBRERO,2023,58
Robo total,SAN TELMO,JUNIO,2019,58
Lesiones por siniestros viales,PALERMO,OCTUBRE,2016,58
Lesiones por siniestros viales,PALERMO,AGOSTO,2017,58
Hurto total,VILLA DEVOTO,ENERO,2018,58
Robo total,CHACARITA,JUNIO,2023,58
Robo total,VILLA DEL PARQUE,JUNIO,2016,58
Lesiones Dolosas,RETIRO,JUNIO,2016,58
Robo total,PARQUE AVELLANEDA,AGOSTO,2021,58
Hurto total,NUÑEZ,SEPTIEMBRE,2019,58
Hurto total,SAAVEDRA,MAYO,2022,58
Hurto total,PARQUE PATRICIOS,AGOSTO,2022,58
Robo total,CONSTITUCION,JUNIO,2020,58
Robo total,PARQUE PATRICIOS,DICIEMBRE,2021,58
Hurto total,SAAVEDRA,JUNIO,2018,58
Hurto total,VILLA CRESPO,FEBRERO,2016,58
Robo total,NUÑEZ,ENERO,2016,58
Hurto total,SAAVEDRA,MARZO,2016,58
Amenazas,VILLA GRAL. MITRE,AGOSTO,2016,58
Hurto total,NUEVA POMPEYA,ENERO,2022,58
Hurto total,MATADEROS,OCTUBRE,2020,58
Hurto total,SAAVEDRA,DICIEMBRE,2022,58
Lesiones Dolosas,FLORES,JULIO,2023,58
Robo total,VILLA SANTA RITA,MARZO,2017,58
Hurto total,SAAVEDRA,AGOSTO,2022,58
Hurto total,PARQUE AVELLANEDA,OCTUBRE,2016,58
Lesiones por siniestros viales,BALVANERA,MARZO,2016,58
Hurto total,VILLA DEL PARQUE,ENERO,2019,58
Robo total,COLEGIALES,ENERO,2021,58
Robo total,SAN TELMO,ABRIL,2019,58
Hurto total,VILLA CRESPO,MAYO,2016,58
Lesiones por siniestros viales,PALERMO,ENERO,2022,58
Robo total,VILLA DEVOTO,MARZO,2022,58
Hurto total,BOEDO,OCTUBRE,2019,58
Amenazas,BARRACAS,MAYO,2017,58
Hurto total,VILLA DEL PARQUE,SEPTIEMBRE,2023,58
Robo total,PARQUE AVELLANEDA,MAYO,2021,58
Amenazas,LINIERS,NOVIEMBRE,2017,58
Amenazas,FLORES,MARZO,2019,58
Robo total,VILLA GRAL. MITRE,SEPTIEMBRE,2017,58
Amenazas,FLORES,ENERO,2020,58
Hurto total,NUEVA POMPEYA,MAYO,2022,58
Hurto total,VILLA LUGANO,SEPTIEMBRE,2017,58
Hurto total,LINIERS,FEBRERO,2017,58
Lesiones Dolosas,BARRACAS,DICIEMBRE,2020,58
Hurto total,VILLA CRESPO,OCTUBRE,2020,58
Hurto total,ALMAGRO,JUNIO,2020,58
Lesiones Dolosas,BOCA,NOVIEMBRE,2019,58
Lesiones Dolosas,VILLA SOLDATI,MARZO,2023,58
Amenazas,FLORES,NOVIEMBRE,2020,58
Amenazas,FLORES,NOVIEMBRE,2021,58
Hurto total,PARQUE PATRICIOS,NOVIEMBRE,2021,58
Robo total,CHACARITA,OCTUBRE,2021,58
Hurto total,VILLA URQUIZA,JULIO,2016,58
Robo total,VILLA DEL PARQUE,OCTUBRE,2016,58
Hurto total,LINIERS,DICIEMBRE,2021,58
Hurto total,SAN CRISTOBAL,FEBRERO,2023,58
Robo total,FLORESTA,JUNIO,2017,58
Hurto total,VILLA URQUIZA,FEBRERO,2021,58
Hurto total,SAN CRISTOBAL,MARZO,2022,58
Hurto total,COLEGIALES,MARZO,2023,58
Amenazas,VILLA LUGANO,MAYO,2021,58
Robo total,MONSERRAT,SEPTIEMBRE,2021,58
Amenazas,VILLA LUGANO,JUNIO,2023,58
Amenazas,FLORES,ENERO,2022,58
Hurto total,VILLA CRESPO,AGOSTO,2020,58
Hurto total,BOCA,DICIEMBRE,2022,58
Hurto total,LINIERS,NOVIEMBRE,2017,58
Hurto total,FLORESTA,NOVIEMBRE,2016,58
Robo total,VILLA DEL PARQUE,ABRIL,2018,58
Robo total,NUÑEZ,ABRIL,2022,58
Hurto total,CONSTITUCION,JULIO,2016,58
Robo total,VILLA LURO,MAYO,2016,58
Robo total,VILLA SANTA RITA,ENERO,2016,58
Lesiones Dolosas,BALVANERA,ENERO,2021,58
Lesiones Dolosas,PALERMO,DICIEMBRE,2023,58
Lesiones Dolosas,CONSTITUCION,ENERO,2022,58
Hurto total,PARQUE AVELLANEDA,AGOSTO,2023,58
Hurto total,CONSTITUCION,JULIO,2018,58
Hurto total,CHACARITA,MARZO,2017,58
Lesiones Dolosas,BALVANERA,AGOSTO,2021,58
Robo total,VILLA GRAL. MITRE,JUNIO,2017,58
Hurto total,BOEDO,JUNIO,2023,58
Lesiones Dolosas,BALVANERA,NOVIEMBRE,2022,58
Robo total,MONTE CASTRO,MAYO,2016,57
Hurto total,BOEDO,AGOSTO,2018,57
Hurto total,VILLA CRESPO,ABRIL,2018,57
Lesiones por siniestros viales,BALVANERA,MAYO,2019,57
Hurto total,MATADEROS,ABRIL,2017,57
Robo total,MATADEROS,MAYO,2021,57
Hurto total,PARQUE AVELLANEDA,ENERO,2022,57
Hurto total,MATADEROS,NOVIEMBRE,2020,57
Hurto total,VELEZ SARSFIELD,DICIEMBRE,2022,57
Robo total,VILLA DEL PARQUE,ABRIL,2022,57
Robo total,NUÑEZ,DICIEMBRE,2016,57
Lesiones Dolosas,FLORES,OCTUBRE,2023,57
Hurto total,LINIERS,DICIEMBRE,2019,57
Amenazas,VILLA LUGANO,MAYO,2020,57
Lesiones Dolosas,FLORES,OCTUBRE,2018,57
Lesiones Dolosas,PALERMO,SEPTIEMBRE,2016,57
Lesiones Dolosas,RECOLETA,FEBRERO,2017,57
Hurto total,VILLA LUGANO,JULIO,2018,57
Hurto total,FLORESTA,NOVIEMBRE,2019,57
Robo total,VILLA PUEYRREDON,NOVIEMBRE,2023,57
Lesiones Dolosas,RETIRO,DICIEMBRE,2020,57
Robo total,SAAVEDRA,JULIO,2023,57
Hurto total,VILLA LUGANO,SEPTIEMBRE,2020,57
Hurto total,FLORESTA,SEPTIEMBRE,2023,57
Hurto total,FLORESTA,OCTUBRE,2019,57
Hurto total,VILLA DEL PARQUE,MARZO,2017,57
Robo total,CHACARITA,DICIEMBRE,2016,57
Hurto total,PARQUE AVELLANEDA,JULIO,2016,57
Hurto total,MATADEROS,JUNIO,2019,57
Robo total,VILLA GRAL. MITRE,MAYO,2023,57
Lesiones Dolosas,LINIERS,MAYO,2016,57
Hurto total,MATADEROS,JUNIO,2021,57
Robo total,NUÑEZ,MAYO,2016,57
Hurto total,VILLA LUGANO,FEBRERO,2018,57
Amenazas,VILLA LUGANO,DICIEMBRE,2018,57
Robo total,PARQUE AVELLANEDA,JULIO,2017,57
Hurto total,VILLA DEVOTO,NOVIEMBRE,2018,57
Hurto total,BOEDO,JUNIO,2022,57
Robo total,VILLA PUEYRREDON,MAYO,2016,57
Hurto total,BOEDO,MARZO,2019,57
Robo total,NUÑEZ,MARZO,2016,57
Lesiones por siniestros viales,BALVANERA,DICIEMBRE,2021,57
Hurto total,SAN TELMO,SEPTIEMBRE,2017,57
Amenazas,PALERMO,OCTUBRE,2017,57
Hurto total,CONSTITUCION,NOVIEMBRE,2017,57
Robo total,VILLA SOLDATI,NOVIEMBRE,2017,57
Robo total,VELEZ SARSFIELD,DICIEMBRE,2018,57
Robo total,FLORESTA,SEPTIEMBRE,2019,57
Hurto total,VILLA DEVOTO,DICIEMBRE,2017,57
Hurto total,SAN CRISTOBAL,NOVIEMBRE,2020,57
Robo total,COLEGIALES,FEBRERO,2021,57
Hurto total,COLEGIALES,DICIEMBRE,2019,57
Robo total,VELEZ SARSFIELD,AGOSTO,2017,57
Lesiones Dolosas,BALVANERA,ABRIL,2023,57
Lesiones Dolosas,VILLA LUGANO,OCTUBRE,2020,57
Hurto total,SAN CRISTOBAL,MAYO,2022,57
Robo total,VILLA DEVOTO,MAYO,2022,57
Robo total,BOCA,SEPTIEMBRE,2022,57
Hurto total,BELGRANO,AGOSTO,2020,57
Hurto total,CONSTITUCION,ABRIL,2017,57
Hurto total,VILLA DEVOTO,FEBRERO,2017,57
Hurto total,CONSTITUCION,MARZO,2017,57
Robo total,FLORESTA,JUNIO,2018,57
Robo total,FLORESTA,JULIO,2023,57
Hurto total,VILLA URQUIZA,FEBRERO,2018,57
Hurto total,SAAVEDRA,NOVIEMBRE,2019,57
Hurto total,VILLA SOLDATI,JUNIO,2022,57
Robo total,VELEZ SARSFIELD,MARZO,2018,57
Hurto total,VILLA DEL PARQUE,SEPTIEMBRE,2016,57
Hurto total,VILLA DEVOTO,DICIEMBRE,2018,57
Lesiones Dolosas,BALVANERA,DICIEMBRE,2022,57
Robo total,VILLA DEVOTO,AGOSTO,2019,57
Hurto total,SAAVEDRA,ABRIL,2016,57
Hurto total,VILLA DEVOTO,ENERO,2020,57
Hurto total,CONSTITUCION,JULIO,2021,57
Hurto total,PARQUE CHACABUCO,OCTUBRE,2021,57
Hurto total,BARRACAS,AGOSTO,2018,57
Lesiones Dolosas,FLORES,ENERO,2023,57
Robo total,VILLA LURO,ENERO,2018,57
Amenazas,VILLA RIACHUELO,SEPTIEMBRE,2016,57
Lesiones Dolosas,BARRACAS,ENERO,2022,57
Robo total,COLEGIALES,JUNIO,2021,57
Lesiones Dolosas,BALVANERA,NOVIEMBRE,2021,57
Hurto total,NUEVA POMPEYA,OCTUBRE,2023,57
Lesiones Dolosas,BOCA,NOVIEMBRE,2016,57
Lesiones por siniestros viales,PALERMO,FEBRERO,2022,57
Lesiones por siniestros viales,FLORES,MAYO,2019,57
Hurto total,SAN NICOLAS,DICIEMBRE,2020,57
Hurto total,PARQUE PATRICIOS,MARZO,2017,57
Robo total,COLEGIALES,ABRIL,2022,57
Hurto total,VILLA DEVOTO,DICIEMBRE,2019,56
Robo total,VILLA GRAL. MITRE,ENERO,2019,56
Hurto total,CONSTITUCION,MARZO,2016,56
Lesiones por siniestros viales,PALERMO,MAYO,2022,56
Robo total,VILLA SANTA RITA,NOVIEMBRE,2017,56
Robo total,VILLA PUEYRREDON,ABRIL,2019,56
Robo total,SAN CRISTOBAL,ABRIL,2021,56
Robo total,MONSERRAT,NOVIEMBRE,2020,56
Robo total,VILLA DEL PARQUE,ENERO,2016,56
Robo total,LINIERS,ENERO,2020,56
Robo total,VILLA PUEYRREDON,MARZO,2019,56
Robo total,PARQUE AVELLANEDA,JULIO,2021,56
Robo total,VILLA CRESPO,JULIO,2020,56
Lesiones por siniestros viales,PALERMO,MAYO,2017,56
Lesiones Dolosas,RETIRO,ABRIL,2017,56
Robo total,COLEGIALES,SEPTIEMBRE,2019,56
Hurto total,VILLA URQUIZA,AGOSTO,2018,56
Robo total,VILLA PUEYRREDON,JULIO,2017,56
Hurto total,VILLA DEL PARQUE,MARZO,2016,56
Robo total,VILLA GRAL. MITRE,DICIEMBRE,2016,56
Hurto total,NUÑEZ,DICIEMBRE,2018,56
Robo total,FLORESTA,AGOSTO,2016,56
Hurto total,VILLA URQUIZA,ENERO,2022,56
Lesiones Dolosas,BALVANERA,NOVIEMBRE,2023,56
Hurto total,PARQUE PATRICIOS,OCTUBRE,2016,56
Robo total,VILLA DEL PARQUE,NOVIEMBRE,2017,56
Hurto total,NUNEZ,FEBRERO,2023,56
Hurto total,NUEVA POMPEYA,AGOSTO,2019,56
Hurto total,VILLA LUGANO,JULIO,2020,56
Hurto total,VILLA URQUIZA,OCTUBRE,2018,56
Robo total,VILLA GRAL. MITRE,OCTUBRE,2022,56
Amenazas,BARRACAS,JUNIO,2017,56
Lesiones Dolosas,PARQUE PATRICIOS,ENERO,2016,56
Hurto total,VILLA DEVOTO,ABRIL,2019,56
Hurto total,BARRACAS,OCTUBRE,2020,56
Robo total,BOEDO,FEBRERO,2021,56
Robo total,VILLA SOLDATI,JULIO,2018,56
Lesiones Dolosas,BALVANERA,SEPTIEMBRE,2022,56
Lesiones Dolosas,RECOLETA,DICIEMBRE,2018,56
Lesiones Dolosas,RECOLETA,DICIEMBRE,2016,56
Hurto total,SAN CRISTOBAL,FEBRERO,2021,56
Hurto total,COLEGIALES,AGOSTO,2023,56
Robo total,NUEVA POMPEYA,AGOSTO,2020,56
Amenazas,VILLA LUGANO,JULIO,2017,56
Hurto total,RETIRO,ENERO,2022,56
Robo total,MONSERRAT,OCTUBRE,2021,56
Amenazas,BALVANERA,MAYO,2019,56
Hurto total,VILLA URQUIZA,FEBRERO,2017,56
Robo total,VILLA URQUIZA,NOVIEMBRE,2020,56
Lesiones por siniestros viales,PALERMO,JUNIO,2023,56
Hurto total,SAN TELMO,JUNIO,2017,56
Robo total,VILLA GRAL. MITRE,SEPTIEMBRE,2016,56
Lesiones por siniestros viales,PALERMO,OCTUBRE,2021,56
Hurto total,LINIERS,AGOSTO,2022,56
Amenazas,BALVANERA,OCTUBRE,2019,56
Lesiones por siniestros viales,PALERMO,FEBRERO,2016,56
Robo total,BOCA,NOVIEMBRE,2021,56
Robo total,VILLA SANTA RITA,JULIO,2016,56
Lesiones por siniestros viales,PALERMO,JUNIO,2016,56
Hurto total,MATADEROS,FEBRERO,2018,56
Lesiones Dolosas,BARRACAS,ABRIL,2021,56
Hurto total,FLORESTA,AGOSTO,2022,56
Hurto total,NUEVA POMPEYA,FEBRERO,2021,56
Hurto total,SAN TELMO,ABRIL,2019,56
Hurto total,SAN NICOLAS,ENERO,2021,56
Hurto total,VELEZ SARSFIELD,MARZO,2023,56
Hurto total,NUÑEZ,OCTUBRE,2016,56
Hurto total,NUEVA POMPEYA,JUNIO,2022,56
Hurto total,VILLA SOLDATI,JUNIO,2023,56
Hurto total,PARQUE CHACABUCO,AGOSTO,2021,56
Hurto total,VILLA SOLDATI,ABRIL,2022,56
Hurto total,PARQUE PATRICIOS,ENERO,2016,56
Lesiones Dolosas,FLORES,AGOSTO,2023,56
Hurto total,SAN TELMO,AGOSTO,2019,56
Hurto total,VILLA SOLDATI,AGOSTO,2023,56
Robo total,VILLA DEL PARQUE,FEBRERO,2016,56
Hurto total,PARQUE AVELLANEDA,JULIO,2018,56
Hurto total,MATADEROS,JUNIO,2017,56
Robo total,PARQUE PATRICIOS,ABRIL,2021,56
Hurto total,VILLA DEVOTO,FEBRERO,2016,56
Hurto total,MATADEROS,NOVIEMBRE,2017,56
Lesiones Dolosas,MONSERRAT,NOVIEMBRE,2016,56
Hurto total,BOCA,NOVIEMBRE,2023,56
Robo total,VILLA DEL PARQUE,MARZO,2017,56
Hurto total,CONSTITUCION,SEPTIEMBRE,2017,56
Hurto total,PARQUE AVELLANEDA,MARZO,2022,56
Hurto total,VILLA DEL PARQUE,MARZO,2022,56
Hurto total,BOCA,OCTUBRE,2022,56
Robo total,CHACARITA,JULIO,2021,56
Hurto total,PARQUE AVELLANEDA,OCTUBRE,2021,56
Hurto total,PARQUE CHACABUCO,SEPTIEMBRE,2021,56
Robo total,PARQUE AVELLANEDA,MAYO,2022,56
Lesiones Dolosas,FLORES,MARZO,2020,56
Hurto total,NUEVA POMPEYA,JUNIO,2016,56
Lesiones Dolosas,RETIRO,NOVIEMBRE,2019,56
Robo total,VELEZ SARSFIELD,JUNIO,2016,56
Hurto total,FLORESTA,ENERO,2023,56
Hurto total,SAN TELMO,SEPTIEMBRE,2018,56
Hurto total,NUÑEZ,MAYO,2018,56
Robo total,BOCA,ABRIL,2021,56
Robo total,RETIRO,JUNIO,2020,56
Lesiones Dolosas,RETIRO,NOVIEMBRE,2020,56
Hurto total,NUEVA POMPEYA,FEBRERO,2020,56
Robo total,VILLA GRAL. MITRE,OCTUBRE,2016,56
Lesiones Dolosas,BALVANERA,ABRIL,2021,55
Hurto total,BOEDO,OCTUBRE,2023,55
Lesiones Dolosas,BALVANERA,OCTUBRE,2023,55
Hurto total,VILLA GRAL. MITRE,SEPTIEMBRE,2022,55
Hurto total,PARQUE CHACABUCO,NOVIEMBRE,2017,55
Hurto total,VILLA PUEYRREDON,SEPTIEMBRE,2023,55
Robo total,COLEGIALES,FEBRERO,2018,55
Robo total,VILLA SOLDATI,AGOSTO,2020,55
Robo total,PARQUE PATRICIOS,JULIO,2023,55
Robo total,PATERNAL,SEPTIEMBRE,2018,55
Robo total,BOEDO,ENERO,2018,55
Lesiones por siniestros viales,PALERMO,FEBRERO,2023,55
Hurto total,LINIERS,JULIO,2016,55
Robo total,PARQUE AVELLANEDA,JUNIO,2021,55
Hurto total,PARQUE AVELLANEDA,SEPTIEMBRE,2019,55
Hurto total,VILLA DEVOTO,AGOSTO,2018,55
Hurto total,PARQUE AVELLANEDA,SEPTIEMBRE,2016,55
Hurto total,LINIERS,JUNIO,2016,55
Lesiones Dolosas,CONSTITUCION,SEPTIEMBRE,2021,55
Robo total,PARQUE AVELLANEDA,OCTUBRE,2021,55
Robo total,BOEDO,OCTUBRE,2021,55
Lesiones Dolosas,VILLA LUGANO,JULIO,2023,55
Robo total,FLORESTA,ABRIL,2016,55
Hurto total,BARRACAS,JULIO,2017,55
Robo total,VELEZ SARSFIELD,ENERO,2018,55
Hurto total,NUÑEZ,MAYO,2017,55
Robo total,PARQUE PATRICIOS,JUNIO,2020,55
Amenazas,BARRACAS,MARZO,2021,55
Lesiones Dolosas,BARRACAS,MARZO,2022,55
Amenazas,VILLA LUGANO,AGOSTO,2023,55
Hurto total,SAN CRISTOBAL,DICIEMBRE,2019,55
Robo total,VILLA DEL PARQUE,MAYO,2023,55
Hurto total,BOCA,ENERO,2023,55
Amenazas,NUÑEZ,AGOSTO,2016,55
Robo total,BOEDO,ABRIL,2023,55
Lesiones Dolosas,CABALLITO,NOVIEMBRE,2019,55
Amenazas,BARRACAS,ABRIL,2017,55
Hurto total,SAAVEDRA,MARZO,2017,55
Hurto total,PARQUE PATRICIOS,AGOSTO,2018,55
Robo total,SAN NICOLAS,AGOSTO,2020,55
Robo total,RECOLETA,ABRIL,2020,55
Amenazas,PALERMO,SEPTIEMBRE,2017,55
Hurto total,VILLA DEL PARQUE,JULIO,2023,55
Lesiones por siniestros viales,PALERMO,JULIO,2021,55
Robo total,VILLA GRAL. MITRE,ABRIL,2018,55
Hurto total,BOEDO,AGOSTO,2019,55
Hurto total,SAN CRISTOBAL,FEBRERO,2020,55
Lesiones Dolosas,RECOLETA,FEBRERO,2019,55
Hurto total,NUÑEZ,JUNIO,2018,55
Hurto total,BOCA,FEBRERO,2023,55
Hurto total,COLEGIALES,AGOSTO,2021,55
Amenazas,BALVANERA,DICIEMBRE,2019,55
Amenazas,CABALLITO,OCTUBRE,2019,55
Hurto total,SAAVEDRA,JULIO,2022,55
Amenazas,PALERMO,MARZO,2018,55
Amenazas,BOCA,NOVIEMBRE,2017,55
Lesiones por siniestros viales,BALVANERA,JULIO,2023,55
Hurto total,CONSTITUCION,MAYO,2021,55
Robo total,LINIERS,AGOSTO,2018,55
Hurto total,VILLA URQUIZA,AGOSTO,2021,55
Hurto total,VILLA LURO,DICIEMBRE,2022,55
Hurto total,NUEVA POMPEYA,MAYO,2019,55
Hurto total,CONSTITUCION,ENERO,2021,55
Lesiones Dolosas,VILLA LUGANO,JUNIO,2023,55
Lesiones Dolosas,CONSTITUCION,MARZO,2023,55
Hurto total,NUÑEZ,MARZO,2017,55
Robo total,SAN CRISTOBAL,SEPTIEMBRE,2020,55
Hurto total,VILLA DEVOTO,JUNIO,2018,55
Hurto total,MATADEROS,DICIEMBRE,2017,55
Robo total,LINIERS,NOVIEMBRE,2021,55
Lesiones Dolosas,CONSTITUCION,NOVIEMBRE,2018,55
Lesiones por siniestros viales,PALERMO,SEPTIEMBRE,2019,55
Hurto total,CONSTITUCION,FEBRERO,2017,55
Hurto total,SAAVEDRA,ABRIL,2019,55
Hurto total,NUEVA POMPEYA,ENERO,2019,55
Lesiones por siniestros viales,FLORES,DICIEMBRE,2023,55
Hurto total,MATADEROS,FEBRERO,2017,55
Robo total,BOEDO,AGOSTO,2023,55
Lesiones Dolosas,VILLA LUGANO,JULIO,2022,55
Robo total,VILLA DEL PARQUE,ENERO,2021,55
Hurto total,MATADEROS,ENERO,2021,55
Lesiones por siniestros viales,PALERMO,DICIEMBRE,2018,55
Lesiones Dolosas,PALERMO,DICIEMBRE,2020,55
Hurto total,BOCA,MAYO,2019,55
Hurto total,NUÑEZ,AGOSTO,2019,55
Robo total,MONSERRAT,JUNIO,2021,55
Lesiones Dolosas,RETIRO,DICIEMBRE,2019,55
Lesiones por siniestros viales,CABALLITO,ABRIL,2022,55
Lesiones por siniestros viales,PALERMO,SEPTIEMBRE,2023,55
Hurto total,VILLA DEL PARQUE,MARZO,2021,55
Lesiones por siniestros viales,PALERMO,ABRIL,2017,55
Hurto total,PARQUE PATRICIOS,JUNIO,2019,55
Hurto total,PARQUE PATRICIOS,MAYO,2022,55
Robo total,SAAVEDRA,MAYO,2021,55
Lesiones Dolosas,CONSTITUCION,OCTUBRE,2019,55
Lesiones Dolosas,SAN NICOLAS,DICIEMBRE,2016,55
Lesiones Dolosas,CONSTITUCION,OCTUBRE,2021,55
Robo total,VILLA URQUIZA,FEBRERO,2022,55
Robo total,FLORESTA,FEBRERO,2023,55
Hurto total,BARRACAS,ABRIL,2021,55
Hurto total,MATADEROS,MARZO,2018,55
Hurto total,SAN TELMO,MAYO,2019,55
Amenazas,PARQUE PATRICIOS,AGOSTO,2017,55
Lesiones por siniestros viales,PALERMO,DICIEMBRE,2021,55
Hurto total,PARQUE AVELLANEDA,JUNIO,2016,55
Hurto total,SAN TELMO,DICIEMBRE,2016,55
Lesiones por siniestros viales,BALVANERA,ABRIL,2016,55
Hurto total,BOCA,SEPTIEMBRE,2019,55
Robo total,FLORESTA,FEBRERO,2017,55
Robo total,VILLA PUEYRREDON,MAYO,2017,55
Hurto total,SAN TELMO,NOVIEMBRE,2016,55
Hurto total,BOCA,MARZO,2023,55
Hurto total,PARQUE PATRICIOS,NOVIEMBRE,2016,55
Hurto total,CONSTITUCION,AGOSTO,2018,55
Amenazas,BALVANERA,MARZO,2021,55
Hurto total,PARQUE PATRICIOS,ENERO,2020,55
Robo total,NUÑEZ,FEBRERO,2022,55
Robo total,NUÑEZ,JULIO,2021,54
Robo total,COLEGIALES,AGOSTO,2016,54
Lesiones Dolosas,VILLA LUGANO,AGOSTO,2023,54
Robo total,SAN NICOLAS,JULIO,2020,54
Lesiones por siniestros viales,PALERMO,ENERO,2017,54
Hurto total,SAAVEDRA,NOVIEMBRE,2021,54
Lesiones Dolosas,RECOLETA,ENERO,2016,54
Hurto total,BOCA,MARZO,2019,54
Lesiones por siniestros viales,BALVANERA,MARZO,2022,54
Lesiones por siniestros viales,PALERMO,DICIEMBRE,2020,54
Robo total,SAN TELMO,DICIEMBRE,2021,54
Amenazas,BALVANERA,ENERO,2022,54
Lesiones Dolosas,RECOLETA,SEPTIEMBRE,2016,54
Lesiones Dolosas,RECOLETA,ENERO,2017,54
Hurto total,BARRACAS,JUNIO,2018,54
Hurto total,SAN TELMO,JUNIO,2022,54
Robo total,NUEVA POMPEYA,SEPTIEMBRE,2020,54
Robo total,VILLA GRAL. MITRE,JUNIO,2018,54
Hurto total,VILLA DEVOTO,SEPTIEMBRE,2018,54
Lesiones Dolosas,BALVANERA,JULIO,2021,54
Robo total,COLEGIALES,MARZO,2023,54
Lesiones por siniestros viales,FLORES,SEPTIEMBRE,2023,54
Robo total,NUÑEZ,ABRIL,2021,54
Hurto total,BOCA,MAYO,2023,54
Robo total,VILLA DEL PARQUE,JUNIO,2019,54
Lesiones por siniestros viales,BALVANERA,FEBRERO,2018,54
Robo total,VILLA GRAL. MITRE,MAYO,2019,54
Robo total,SAAVEDRA,ABRIL,2021,54
Hurto total,SAAVEDRA,OCTUBRE,2017,54
Lesiones Dolosas,BALVANERA,MAYO,2022,54
Robo total,PARQUE PATRICIOS,JUNIO,2021,54
Robo total,SAN TELMO,MAYO,2021,54
Hurto total,PALERMO,MAYO,2020,54
Hurto total,BARRACAS,MARZO,2020,54
Hurto total,BOCA,NOVIEMBRE,2017,54
Hurto total,MATADEROS,ABRIL,2021,54
Robo total,NUÑEZ,DICIEMBRE,2021,54
Robo total,SAN TELMO,ABRIL,2017,54
Robo total,VELEZ SARSFIELD,JUNIO,2017,54
Amenazas,VILLA LUGANO,FEBRERO,2018,54
Lesiones por siniestros viales,FLORES,OCTUBRE,2017,54
Robo total,SAN CRISTOBAL,AGOSTO,2021,54
Hurto total,COLEGIALES,OCTUBRE,2022,54
Hurto total,MONTE CASTRO,JULIO,2023,54
Lesiones por siniestros viales,PALERMO,MARZO,2016,54
Amenazas,BARRACAS,SEPTIEMBRE,2022,54
Amenazas,VILLA LUGANO,MAYO,2019,54
Robo total,SAAVEDRA,SEPTIEMBRE,2023,54
Robo total,FLORESTA,ENERO,2017,54
Robo total,VILLA LURO,OCTUBRE,2018,54
