nombre_est,barrio
Centro de Formación Profesional N° 34 Profesor R Albergucci Casa Pio IX,ALMAGRO
Esc. Primaria p/Adultos N° 01 Tomasa de la Quintana de Escalada,VILLA CRESPO
Esc. Primaria Común N° 01 Tomasa de la Quintana de Escalada,VILLA CRESPO
Jardín de Infantes Nucleado A (EPCjc 01/07°) [Sede],VILLA CRESPO
Esc. Primaria Común N° 02 Francisco Desiderio Herrera,VILLA CRESPO
Conservatorio Superior de Música Manuel de Falla - Anexo 4,VILLA CRESPO
Esc. Primaria p/Adultos N° 04 Presidente Dr. Arturo Umberto Illia,CABALLITO
Jardín de Infantes Común N° 03/07° La Porteña,CABALLITO
Esc. Primaria Común N° 04 Presidente Dr. Arturo Umberto Illia,CABALLITO
Esc. Primaria Común N° 05 Juan B. Peña,FLORES
Jardín de Infantes Nucleado C (EPCjc 05/07°),FLORES
Esc. de Música N° 11,CABALLITO
Jardín de Infantes Común N° 04/07°,CABALLITO
Esc. Primaria Común N° 08 Provincia de San Juan,CABALLITO
Esc. Primaria Común N° 09 Japón,VILLA GRAL. MITRE
Jardín de Infantes Nucleado C (EPCjc 09/07°),VILLA GRAL. MITRE
Esc. Primaria Común N° 11 José Ignacio Gorriti,CABALLITO
Jardín de Infantes Nucleado D (EPCjc 11/07°),CABALLITO
Centro Educativo Complementario de Idiomas Extranjeros N° 07,FLORES
"Centro de Alfabetización, Educación Básica y Trabajo N° 57 Arca de Noé",RETIRO
Esc. Primaria Común N° 12 Facundo Zuviria,FLORES
Jardín de Infantes Nucleado C (EPCjc 12/07°) [Sede],FLORES
Esc. Primaria Común N° 13 Leopoldo Marechal,VILLA GRAL. MITRE
Jardín de Infantes Nucleado C (EPCjs 13/07°),VILLA GRAL. MITRE
Esc. Primaria Común N° 14 Dr. Ernesto E. Padilla,CABALLITO
Esc. Primaria Común N° 15 Gral. José Gervasio de Artigas,CABALLITO
Esc. Primaria p/Adultos N° 16 Andrés Ferreyra,VILLA CRESPO
Esc. Primaria Común N° 16 Andrés Ferreyra,VILLA CRESPO
Jardín de Infantes Integral N° 06/07°,VILLA CRESPO
Jardín de Infantes Nucleado D (EPCjs 21/07°),VILLA CRESPO
Centro de Actividades Infantiles y Juveniles Club de Chicos Caballito,VILLA CRESPO
Centro de Actividades Infantiles y Juveniles Caballito,VILLA CRESPO
Centro Educativo de Nivel Secundario N° 33 Leopoldo Marechal,VILLA CRESPO
Esc. Primaria Común N° 17 Francisco de Vitoria,VILLA CRESPO
Jardín de Infantes Nucleado A (EPCjc 17/07°),VILLA CRESPO
Esc. Primaria Común N° 18 Comodoro Clodomiro Urtubey,VILLA GRAL. MITRE
Jardín de Infantes Nucleado C (EPCjs 18/07°),VILLA GRAL. MITRE
Esc. Primaria Común N° 19 Galicia,CABALLITO
Centro Educativo Complementario de Idiomas Extranjeros N° 22,CABALLITO
Jardín de Infantes Nucleado B (EPCjs 20/07°) La Veleta de Caballito [Sede],CABALLITO
Esc. Primaria Común N° 20 Tte. Benjamín Matienzo,CABALLITO
Esc. Primaria Común N° 21 Emilio Raúl Olive,VILLA CRESPO
Jardín de Infantes Nucleado A (EPCjs 22/07°),VILLA CRESPO
Esc. Primaria p/Adultos N° 23 Gral. Belgrano,ALMAGRO
Esc. Primaria Común N° 23 Gral. Belgrano,ALMAGRO
Jardín de Infantes Nucleado D (EPCjc 23/07°) [Sede],ALMAGRO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 06,ALMAGRO
Centro Educativo de Nivel Secundario N° 19,CABALLITO
Esc. Primaria Común N° 24 Virgen Generala,CABALLITO
Jardín de Infantes Nucleado B (EPCjc 24/07°) La Veleta de Caballito,CABALLITO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 06,CABALLITO
Esc. Primaria Común N° 25 República de Guatemala,CABALLITO
Esc. de Comercio N° 16 Gabriela Mistral,VILLA CRESPO
Inst. Vocacional de Arte,PARQUE CHACABUCO
Jardín de Infantes Común N° 02/07° Prof. Marina Margarita Ravioli,CABALLITO
Esc. Primaria Común N° 03 Primera Junta,CABALLITO
Jardín Maternal N° 05/07° Jacarandá,CABALLITO
Jardín de Infantes Integral N° 01/07° Andres Ferreyra,CABALLITO
Colegio N° 17 Primera Junta,CABALLITO
Esc. de Comercio N° 23 Dr. Luis Agote,CABALLITO
Esc. de Comercio N° 29 Marina Mercante Argentina,CABALLITO
Esc. Técnica N° 09 Ing. Luis A. Huergo,CABALLITO
Centro de Actividades Infantiles y Juveniles Club Huergo,CABALLITO
Esc. Superior de Comercio N° 03 Hipólito Vieytes,CABALLITO
Instituto de Formación Técnica Superior N° 07,CABALLITO
Esc. Primaria Común N° 06 Delfín Jijena,VILLA CRESPO
Centro Educativo de Nivel Secundario N° 57,CABALLITO
Esc. Superior de Enfermería Dra. Cecilia Grierson sede,CABALLITO
Centro de Formación Profesional N° 16 (sede) - SGBATOS,CABALLITO
Inst. Privado del Sindicato GBA de Obras Sanitarias,CABALLITO
CENOF Centro Rawson,ALMAGRO
Centro Educativo de Nivel Secundario N° 92,ALMAGRO
Centro Educativo de Nivel Secundario N° 35,ALMAGRO
Centro de Formación Profesional N° 17 Ing. Cesar M. Polledo - UOCRA,ALMAGRO
Centro Educativo de Nivel Primario N° 46 - Biblioteca Ciencia y Labor,ALMAGRO
Centro Educativo de Nivel Primario N° 53,ALMAGRO
ISFD Polo Educativo IMPA,ALMAGRO
UGEE N° 02 Bachillerato Popular de Adultos y Adolescentes IMPA,ALMAGRO
Esc. Primaria Común N° 10 Juan Agustín Maza,PARQUE CHACABUCO
"Centro de Alfabetización, Educación Básica y Trabajo N° 70",ALMAGRO
"Centro de Alfabetización, Educación Básica y Trabajo N° 42",ALMAGRO
Esc. de Educación Media N° 01/07,CABALLITO
Esc. Primaria Común N° 10 Arq. Mario Jose Buschiazzo,CABALLITO
Jardín de Infantes Nucleado B (EPCjs 10/07°) La Veleta de Caballito,CABALLITO
Centro Educativo de Nivel Secundario N° 30,PARQUE CHACABUCO
Jardín de Infantes Integral N° 01/08° Ciudad de Buenos Aires,PARQUE CHACABUCO
Esc. Primaria Común N° 02 Tomás Santa Coloma,PARQUE CHACABUCO
Jardín de Infantes Nucleado C (EPCjs 18/01°) (Sede),RECOLETA
Esc. Primaria Común N° 03 Dr. Manuel Augusto Montes de Oca,CABALLITO
Esc. Primaria Común N° 04 Organización de los Estados Americanos,CABALLITO
Jardín de Infantes Nucleado B (EPCjc 03/09°),COLEGIALES
Jardín de Infantes Nucleado E (EPCjc 04/08°) El Tranvia de Caballito [Sede],CABALLITO
Conservatorio Superior de Música Manuel de Falla - Anexo 1,CABALLITO
Esc. Primaria p/Adultos N° 06 San José de Calasanz,BOEDO
Jardín de Infantes Nucleado B (EPCjs 06/08°) [Sede],BOEDO
Esc. Primaria Común N° 06 San José de Calasanz,BOEDO
Instituto de Formación Técnica Superior N° 27,PARQUE CHACABUCO
Jardín de Infantes Común N° 05/08° Martha A. Salotti,PARQUE CHACABUCO
Esc. Primaria Común N° 07 Niñas de Ayohuma,PARQUE CHACABUCO
Esc. Primaria p/Adultos N° 08 Antonio Schettino,CABALLITO
Esc. Primaria Común N° 08 Antonio Schettino,CABALLITO
Jardín de Infantes Nucleado B (EPCjs 08/08°),CABALLITO
Centro Educativo de Nivel Secundario N° 52,CABALLITO
Esc. Primaria Común N° 09 Florentino Ameghino,CABALLITO
Jardín de Infantes Nucleado A (EPCjc 09/08°),CABALLITO
Instituto de Formación Técnica Superior N° 13,CABALLITO
Esc. Primaria Común N° 11 Presidente Marcelo T. de Alvear,CABALLITO
Jardín de Infantes Nucleado A (EPCjc 11/08°) [Sede],CABALLITO
Esc. Primaria p/Adultos N° 14 Joaquín Víctor González,CABALLITO
Esc. Primaria Común N° 14 Joaquín Víctor González,CABALLITO
Jardín de Infantes Nucleado E (EPCjs 14/08°) El Tranvia de Caballito,CABALLITO
Instituto de Formación Técnica Superior N° 11,PARQUE CHACABUCO
Esc. Primaria Común N° 15 Provincia de Salta,PARQUE CHACABUCO
Jardín de Infantes Común N° 03/08°,PARQUE CHACABUCO
CENOF Centro Don Bosco,ALMAGRO
Esc. Primaria Común N° 16 Jose María Ramos Mejía,ALMAGRO
Inst. Social Militar Dr. Dámaso Centeno,CABALLITO
Jardín de Infantes Nucleado A (EPCjs 16/08°),ALMAGRO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 07,ALMAGRO
Centro Educativo de Nivel Secundario N° 22,PARQUE CHACABUCO
Esc. Primaria Común N° 17 Prof. Raúl L. Bernardelli,PARQUE CHACABUCO
Jardín de Infantes Nucleado C (EPCjs 20/08°),BOEDO
Esc. Primaria Común N° 02 Domingo Faustino Sarmiento,RETIRO
Esc. Primaria Común N° 21 Juan José Paso,PARQUE CHACABUCO
Jardín de Infantes Nucleado C (EPCjs 21/08°),PARQUE CHACABUCO
Centro Educativo Complementario de Idiomas Extranjeros N° 08,PARQUE CHACABUCO
Centro Educativo Complementario de Educación Plástica N° 08,PARQUE CHACABUCO
Centro Educativo de Nivel Secundario N° 68,PARQUE CHACABUCO
Esc. Primaria Común N° 23 Canadá,PARQUE CHACABUCO
CENOF Centro Saraza,PARQUE CHACABUCO
Jardín de Infantes Nucleado C (EPCjc 24/08°) [Sede],PARQUE CHACABUCO
"Centro de Alfabetización, Educación Básica y Trabajo N° 36",PARQUE CHACABUCO
Centro Educativo de Nivel Secundario N° 05 (anexo 2),PARQUE CHACABUCO
"Centro de Alfabetización, Educación Básica y Trabajo N° 28",PARQUE CHACABUCO
Escuela Infantil N° 04/08° Agustín Tatín Ravello,PARQUE CHACABUCO
Bachillerato con Orientación Artística N° 01 Antonio Berni,ALMAGRO
Colegio N° 10 José de San Martín,ALMAGRO
"Esc. para Niños, Niñas y Jóvenes con Discapacidad Visual N° 33 Santa Cecilia",CABALLITO
Centro de Formación Profesional N° 06 Ctro Integral de Form Prof p/Adolescentes (CIFPA),PARQUE CHACABUCO
Jardín de Infantes Integral N° 02/08° Jorge Eduardo Coll,ALMAGRO
Esc. Integral Interdisciplinaria N° 08 Luis  Vernet,PARQUE CHACABUCO
Liceo N° 12 Fray Mamerto Esquiú,CABALLITO
Esc. de Comercio N° 19 Juan Montalvo,CABALLITO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 02,CABALLITO
Primera Infancia Montalvo,CABALLITO
Esc. Normal Superior N° 04 Estanislao Severo Zeballos,CABALLITO
Liceo N° 02 Amancio Alcorta,CABALLITO
Escuela de Maestros (anexo 03),CABALLITO
Inst. Superior de Educación Física N° 02 Prof. Federico Williams Dickens,PARQUE CHACABUCO
"Esc. para Niños, Niñas, Jóvenes y Adultos con Discapacidad Mental y Formación Integral N° 01 Alfonsina Storni",PARQUE CHACABUCO
"Esc. para Niños, Niñas y Jóvenes con Discapacidad Visual N° 35 José Manuel Estrada",CABALLITO
Centro Educativo de Nivel Secundario N° 23,ALMAGRO
Esc. Primaria Común N° 22 Antonio Abraham Zinny,PARQUE CHACABUCO
Centro Educativo de Nivel Secundario N° 47,ALMAGRO
Jardín de Infantes Nucleado A (EPCjs 10/09°) [Sede],PALERMO
Esc. de Educación Media N° 03/07°,VILLA CRESPO
Centro de Formación Profesional N° 11 (sede) - SUTECBA,ALMAGRO
Instituto de Formación Técnica Superior N° 21,ALMAGRO
Centro Educativo de Nivel Primario N° 32 - Asociación Vecinal Florentino Ameghino,BOEDO
Centro Educativo de Nivel Secundario N° 79,CABALLITO
Centro Educativo de Nivel Primario N° 33,CABALLITO
Centro Educativo de Nivel Primario N° 31 - Hosp. de Odontología Dr. Jose Dueñas,ALMAGRO
Inst. San Antonio,ALMAGRO
Esc. Primaria Común N° 01 República de Cuba,PALERMO
Instituto de Formación Técnica Superior N° 20,VILLA CRESPO
Esc. Primaria Común N° 02 Australia,VILLA CRESPO
Jardín de Infantes Común N° 03/09° Leopoldo Marechal,VILLA CRESPO
Centro Educativo Complementario de Idiomas Extranjeros N° 09,COLEGIALES
Esc. Primaria Común N° 03 Juana Manso,COLEGIALES
Jardín de Infantes Integral N° 12/09°,COLEGIALES
Esc. Primaria Común N° 04 Provincia de Córdoba,PALERMO
Esc. Primaria Común N° 05 Honorable Congreso de la Nación,PALERMO
Jardín de Infantes Integral N° 05/09°,PALERMO
Centro Educativo Complementario de Educación Plástica N° 09 (anexo),PALERMO
Esc. Primaria p/Adultos N° 06 Vicente Fidel Lopez,PALERMO
Esc. Primaria Común N° 06 Vicente Fidel López,PALERMO
Jardín de Infantes Integral N° 06/09°,PALERMO
Esc. Primaria Común N° 20 Eloy Fernández Alonso,BOEDO
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 04,RETIRO
Esc. Primaria Común N° 07 Marcos Sastre,COLEGIALES
Jardín de Infantes Nucleado A (EPCjc 07/09°),COLEGIALES
Esc. Primaria Común N° 08 Armenio-Argentina,PALERMO
Jardín de Infantes Nucleado A (EPCjc 08/09°),PALERMO
Esc. Primaria Común N° 09 Juan Crisóstomo Lafinur,PALERMO
Jardín de Infantes Nucleado B (EPCjc 09/09°) [S] Jardín de los Puentes,PALERMO
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 23,PALERMO
Esc. Primaria Común N° 10 Manuel Lainez,PALERMO
Esc. Primaria Común N° 11 Manuela Pedraza,PALERMO
Jardín de Infantes Nucleado C (EPCjc 01/09°),PALERMO
Esc. Primaria Común N° 12 Gran Mariscal del Perú Ramón Castilla,COLEGIALES
Centro Educativo Complementario de Educación Plástica N° 09 (sede),COLEGIALES
Jardín de Infantes Común N° 07/09° El Jardin de las Glicinas,COLEGIALES
Esc. Primaria Común N° 13 Raúl Scalabrini Ortiz,COLEGIALES
CENOF Centro Arévalo,PALERMO
Esc. Primaria Común N° 14 Provincia de Rio Negro,PALERMO
Jardín de Infantes Nucleado D (EPCjc 14/09°) [Sede],PALERMO
Esc. Técnica de Jardínería Cristóbal M. Hicken,PALERMO
Esc. Primaria Común N° 21 Angel Gallardo,RECOLETA
Esc. Primaria p/Adultos N° 15 Cap. Gral. Bernardo O'Higgins,COLEGIALES
Esc. Primaria Común N° 15 Cap. Gral. Bernardo O'Higgins,COLEGIALES
Jardín de Infantes Nucleado C (EPCjc 20/09°) [Sede],PALERMO
Jardín de Infantes Nucleado B (EPCjs 15/09°),COLEGIALES
Inst. Superior Ntra. Sra. de Fátima,VILLA SOLDATI
Esc. Primaria p/Adultos N° 16 Cap. de Fragata Carlos María Moyano,COLEGIALES
Esc. Primaria Común N° 16 Cap. de Fragata Carlos María Moyano,COLEGIALES
Esc. Primaria p/Adultos N° 17 Blas Parera,PALERMO
Esc. Primaria Común N° 17 Blas Parera,PALERMO
Jardín de Infantes Integral N° 04/09°,PALERMO
Esc. de Música N° 08,VILLA CRESPO
Esc. Primaria Común N° 18 Yapeyu,VILLA CRESPO
Jardín de Infantes Nucleado D (EPCjc 18/09°),VILLA CRESPO
Jardín Azul Naranja (anexo),PALERMO
Esc. Primaria Común N° 19 Provincia del Chubut,VILLA CRESPO
Jardín de Infantes Nucleado D (EPCjs 19/09°),VILLA CRESPO
Centro de Actividades Infantiles y Juveniles Chacarita,VILLA CRESPO
Esc. Primaria Común N° 20 Carlos María Biedma,PALERMO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 04,RETIRO
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 09,PALERMO
Esc. Primaria p/Adultos N° 23 Dr. José María Bustillo,PALERMO
Esc. Primaria Común N° 23 Dr. José Maria Bustillo,PALERMO
Jardín de Infantes Nucleado C (EPCjs 23/09°),PALERMO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 03,RECOLETA
Centro Educativo Complementario de Natación N° 03,PALERMO
Jardín de Infantes Común N° 02/09° Granaderos de San Martín,PALERMO
Esc. Primaria Común N° 30 Granaderos de San Martin,PALERMO
Jardín de Infantes Común N° 09/09°,COLEGIALES
Jardín de Infantes Integral N° 01/09° Dr. Alfredo Palacios,PALERMO
Colegio N° 04 Nicolás Avellaneda,PALERMO
Centro Educativo de Nivel Secundario N° 37 anexo,ALMAGRO
Centro de Actividades Infantiles y Juveniles Club Avellaneda,PALERMO
Primera Infancia Colegio 4,PALERMO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 01,RECOLETA
Esc. de Comercio N° 31 Naciones Unidas,PALERMO
Esc. Primaria Común N° 12 Reconquista,FLORES
Instituto de Formación Técnica Superior N° 03,PALERMO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 04,PALERMO
Centro Educativo de Nivel Secundario N° 38,PALERMO
Instituto de Formación Técnica Superior N° 06,PALERMO
Esc. Técnica N° 02 Osvaldo Magnasco,PALERMO
Esc. Técnica N° 03 María Sánchez de Thompson,PALERMO
Esc. Técnica N° 34 Ing. Enrique Martín Hermitte,CHACARITA
Esc. de Educacion Media N° 07/09° María Claudia Falcone,PALERMO
Escuela de Maestros (sede),PALERMO
Inst. Superior del Prof. de Educ. Inicial Sara Chamberlain de Eccleston (sede),PALERMO
Centro Educativo para Niños en Tiempos y Espacios Singulares N° 02,PALERMO
"Esc. para NIños, Niñas, Jóvenes y Adultos con Discapacidad Mental y Formación Integral N° 04 Dr. Rafael  Arcone",PALERMO
Esc. para Niños y Niñas con Severos Trastornos de la Personalidad N° 17 Arminda Aberastury,PALERMO
Esc. para Niños y Niñas con Discapacidad Mental N° 25 Macacha Güemes,PALERMO
"Esc. para Niños, Niñas y Jóvenes con Pluridiscapacidad N° 26 Dr. Jorge Garber",PALERMO
"Esc. Domiciliaria para Niños, Niñas y Jóvenes con Discapacidad N° 08",PALERMO
Esc. Integral Interdisciplinaria N° 09,BELGRANO
Jardín Maternal N° 08/09° Abriendo Caminos,PALERMO
"Centro de Alfabetización, Educación Básica y Trabajo N° 75  Casa Delia",RETIRO
Centro Educativo de Nivel Secundario N° 17,COLEGIALES
Centro Educativo de Nivel Secundario N° 28 SUTERH,COLEGIALES
Esc. Primaria Común N° 23 Bernardino Rivadavia,RECOLETA
Esc. Primaria Común N° 04 Cnel. C. F. Brandsen,NUÑEZ
Centro de Formación Profesional N° 28 Ministro José María Freire (anexo) - SUTERH,COLEGIALES
Centro Educativo de Nivel Primario N° 36 - SUTERH,COLEGIALES
Centro Educativo Cursos Especiales - Santa Elena,PALERMO
Centro Educativo Cursos Especiales - Santa Elena,PALERMO
Centro Educativo de Nivel Primario N° 34 - Parroquia Santa Elena,PALERMO
Inst. Superior de Educación Física Infantil Hugo Quinn,BELGRANO
Inst. Superior del Prof. de Educación Inicial Sara Chamberlain de Eccleston - JIC Mitre,PALERMO
CENOF Centro Cuba,BELGRANO
Esc. Primaria Común N° 01 Casto Munita,BELGRANO
Jardín de Infantes Común N° 03/10° anexo,BELGRANO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 09,BELGRANO
Esc. Primaria Común N° 03 Esteban Echeverría,BELGRANO
Jardín de Infantes Nucleado C (EPCjs 04/10°),NUÑEZ
Centro Educativo Complementario de Idiomas Extranjeros N° 10,BELGRANO
Esc. Primaria Común N° 05 Juan Bautista Alberdi,BELGRANO
Jardín de Infantes Común N° 03/10° sede,BELGRANO
Jardín de Infantes Nucleado C (EPCjc 21/01°),RECOLETA
Esc. Primaria Común N° 06 Manuel Dorrego,SAAVEDRA
CENOF Centro Cabildo,NUÑEZ
Esc. Primaria Común N° 07 Manuel J. García,NUÑEZ
Jardín Maternal N° 07/10°,NUÑEZ
Esc. Primaria Común N° 08 Alte. Ramón González Fernández,BELGRANO
Jardín de Infantes Nucleado A (EPCjs 09/10°) [Sede],NUÑEZ
Esc. Primaria Común N° 09 Evaristo Julio Badia,NUÑEZ
Esc. Primaria Común N° 10 Joaquin María Cullen,NUÑEZ
Jardín de Infantes Nucleado A (EPCjc 10/10°),NUÑEZ
Esc. Primaria Común N° 11 Primer Ministro Indira Gandhi,BELGRANO
Jardín de Infantes Nucleado D (EPCjc 11/10°),BELGRANO
Centro Educativo de Nivel Secundario N° 81,NUÑEZ
Jardín de Infantes Común N° 09/10°,NUÑEZ
Liceo N° 09 Santiago Derqui,BELGRANO
Jardín Maternal N° 11/09°,PALERMO
Esc. Primaria Común N° 12 Prof. Rodolfo Senet,NUÑEZ
Esc. Primaria Común N° 13 Ricardo Monner Sans,SAAVEDRA
Jardín de Infantes Nucleado E (EPCjs 13/10°),SAAVEDRA
Jardín de Infantes Común N° 10/10°,SAAVEDRA
Esc. Primaria Común N° 14 Fray Martín del Barco Centenera,SAAVEDRA
Esc. Primaria p/Adultos N° 15 Provincia de Santa Fe,SAAVEDRA
Jardín de Infantes Común N° 05/10° Pablo Picasso,SAAVEDRA
Esc. Primaria Común N° 15 Provincia de Santa Fe,SAAVEDRA
Esc. Primaria p/Adultos N° 16 República Dominicana,NUÑEZ
Esc. Primaria Común N° 16 República Dominicana,NUÑEZ
Jardín de Infantes Nucleado C (EPCjs 16/10°),NUÑEZ
Esc. Primaria Común N° 17 Dr. Juan Balestra,BELGRANO
Esc. Primaria Común N° 18 José Hernández,VILLA URQUIZA
Esc. Primaria p/Adultos N° 19 Pablo A. Pizzurno,BELGRANO
Jardín de Infantes Nucleado C (EPCjs 19/10°) [Sede],BELGRANO
Esc. Primaria Común N° 19 Pablo A. Pizzurno,BELGRANO
Esc. Primaria Común N° 20 Vicealmirante Vicente E. Montes,NUÑEZ
Jardín de Infantes Nucleado A (EPCjs 20/10°),NUÑEZ
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 10,NUÑEZ
Centro de Formación Profesional N° 21 Arzobispado de Buenos Aires,SAN NICOLAS
Centro Educativo de Nivel Secundario N° 24,RECOLETA
Esc. Primaria Común N° 21 Cnel. Cornelio Saavedra,SAAVEDRA
Esc. Primaria Común N° 05 Albina García de Ryan,FLORES
Jardín de Infantes Nucleado E (EPCjc 21/10°) [Sede],SAAVEDRA
Esc. Primaria Común N° 22 Remedios de Escalada de San Martin,BELGRANO
Jardín de Infantes Nucleado D (EPCjc 22/10°) [Sede],BELGRANO
Esc. Primaria p/Adultos N° 23 José Clemente Paz,BELGRANO
Esc. Primaria Común N° 23 José Clemente Paz,BELGRANO
Centro Educativo de Nivel Secundario N° 53,SAAVEDRA
Esc. Primaria p/Adultos N° 25 República de Turquia,SAAVEDRA
Esc. Primaria Común N° 25 República de Turquia,SAAVEDRA
Jardín de Infantes Integral N° 02/10° Merceditas,SAAVEDRA
Desde la Cuna,CABALLITO
Esc. Primaria p/Adultos N° 03 Dr. Onésimo Leguizamón,RECOLETA
Centro de Actividades Infantiles y Juveniles Saavedra Mitre,SAAVEDRA
Centro Educativo Complementario de Idiomas Extranjeros N° 01,RECOLETA
Primera Infancia Nueve Lunas,SAAVEDRA
Centro de Formación Profesional N° 07,BELGRANO
Escuela Infantil El Mago de Oz,BELGRANO
Jardín de Infantes Integral N° 01/10° Athos Palma,BELGRANO
Esc. de Educación Media N° 03/10°,NUÑEZ
Inst. Superior de Deportes,NUÑEZ
Inst. Superior de Educación Física N° 01 Dr. Enrique Romero Brest,NUÑEZ
Esc. Integral Interdisciplinaria N° 10 Alférez de Navío José María Sobral,NUÑEZ
Colegio N° 08 Julio Argentino Roca,BELGRANO
Esc. de Comercio N° 07 Manuel Belgrano,BELGRANO
Esc. de Educación Media N° 02/10° E.Reingreso,BELGRANO
Primera Infancia Roosevelt,BELGRANO
Esc. de Educacion Media N° 05/10° Héroes de Malvinas,BELGRANO
Escuela Infantil Piluso,RECOLETA
Esc. Técnicas Raggio,NUÑEZ
Esc. Técnica N° 21 Fragata Escuela Libertad,COGHLAN
Esc. Técnica N° 28 República Francesa,BELGRANO
Ciclo Básico de Formación Ocupacional N° 03 Olga Cossettini,BELGRANO
Esc. Normal Superior N° 10 Juan Bautista Alberdi (sede),BELGRANO
Esc. Normal Superior N° 10 Juan Bautista Alberdi (anexo),BELGRANO
Escuela Infantil Mundo Mágico,BELGRANO
Escuela de Maestros Centro Cultural De La Memoria,NUÑEZ
Centro Educativo de Nivel Secundario N° 09,VELEZ SARSFIELD
Esc. Primaria Común N° 01 José Alfredo Ferreira,VELEZ SARSFIELD
Jardín de Infantes Nucleado B (EPCjc 01/11°),VELEZ SARSFIELD
Primera Infancia Luceritos,VELEZ SARSFIELD
Centro de Actividades Infantiles y Juveniles Velez Sarsfield,VELEZ SARSFIELD
Esc. Primaria Común N° 02 Maximio S. Victoria,VELEZ SARSFIELD
Jardín de Infantes Nucleado B (EPCjc 02/11°),VELEZ SARSFIELD
Esc. Primaria Común N° 10 Ing. Octavio S. Pico,FLORES
Esc. Primaria Común N° 24 C. y F. Pizarro y M. Pizarro y Monje,RECOLETA
Esc. Primaria p/Adultos N° 03 Angela M. de Caviglia,VELEZ SARSFIELD
Esc. Primaria Común N° 03 Angela M. de Caviglia,VELEZ SARSFIELD
Jardín de Infantes Nucleado B (EPCjc 03/11°),VELEZ SARSFIELD
Esc. Primaria Común N° 04 Benjamín Zorrilla,FLORES
Jardín de Infantes Común N° 02/11°,FLORES
Jardín de Infantes Nucleado C (EPCjs 05/11°) Herminia Brumana,FLORES
Esc. Primaria p/Adultos N° 06 Dr. Carlos Vaz Ferreira,FLORES
Esc. Primaria Común N° 06 Dr. Carlos Vaz Ferreira,FLORES
Esc. Primaria Común N° 07 Tte. Manuel Félix Origone,PARQUE CHACABUCO
Jardín de Infantes Nucleado D (EPCjs 07/11°) Sin Fronteras,PARQUE CHACABUCO
Jardín de Infantes Nucleado C (EPCjs 08/11°) Herminia Brumana,FLORES
Esc. Primaria Común N° 09 José Maria Paz,FLORES
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 11,FLORES
Centro Educativo Complementario de Idiomas Extranjeros N° 11,FLORES
Jardín de Infantes Nucleado C (EPCjc 10/11°) [Sede] Herminia Brumana,FLORES
Centro Educativo de Nivel Secundario N° 69,RECOLETA
Esc. Primaria Común N° 11 Dr. Pedro Goyena,PARQUE AVELLANEDA
Jardín de Infantes Nucleado A (EPCjc 11/11°) Baldomero Fernández Moreno,PARQUE AVELLANEDA
CENOF Centro Varela - Esc. Primaria 12/11°,FLORES
Esc. Primaria Común N° 13 Francisca Jacques,FLORES
Jardín de Infantes Nucleado D (EPCjc 13/11°) Sin Fronteras,FLORES
Esc. Primaria Común N° 14 Hogar Naval Stella Maris,FLORESTA
Esc. Técnica N° 37 Hogar Naval Stella Maris,FLORESTA
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 20,FLORESTA
Esc. Primaria p/Adultos N° 15 República Oriental del Uruguay,FLORES
Jardín de Infantes Nucleado D (EPCjs 15/11°) [Sede] Sin Fronteras,FLORES
Esc. Primaria Común N° 15 República Oriental del Uruguay,FLORES
Esc. Primaria Común N° 16 Dr. Francisco Javier Eugenio de Santa Cruz y Espejo,FLORES
Esc. Primaria Común N° 01 Museo de Bellas Artes Gral. Urquiza,FLORES
Jardín de Infantes Nucleado A (EPCjs 16/11°) Baldomero Fernández Moreno,FLORES
Esc. Primaria Común N° 17 Gral. Juan Galo Lavalle,PARQUE AVELLANEDA
Jardín de Infantes Nucleado B (EPCjc 17/11°) [Sede],PARQUE AVELLANEDA
Esc. Primaria Común N° 19 Fragata ARA Libertad,FLORESTA
Jardín de Infantes Nucleado B (EPCjs 19/11°),FLORESTA
Esc. Primaria Común N° 20 Antonio Alice,PARQUE AVELLANEDA
Jardín de Infantes Nucleado A (EPCjc 20/11°) [Sede] Baldomero Fernández Moreno,PARQUE AVELLANEDA
Esc. Primaria Común N° 22 Hipolito Bouchard,FLORES
