nombre_est,barrio
Esc. Primaria Común N° 18 Jorge Newbery,VILLA RIACHUELO
Inst. Raúl Scalabrini Ortiz,SAN NICOLAS
Centro de Actividades Infantiles y Juveniles Club Balvanera,BALVANERA
Centro Educativo de Nivel Secundario N° 34,BALVANERA
Esc. de Comercio N° 34 Monseñor Miguel de Andrea,BALVANERA
Esc. para Niños y Niñas con Discapacidad Mental N° 14 Constancio C. Vigil,SAN TELMO
CENOF Centro Integrador Almafuerte,SAN CRISTOBAL
Esc. para Jóvenes y Adultos con Discapacidad Mental y de Formación Integral N° 22 P B Palacios Almafuerte,SAN CRISTOBAL
Esc. para Jóvenes y Adultos con Discapacidad Visual y Formación Integral N° 37 Francisco Gatti,SAN TELMO
Esc. Integral Interdisciplinaria N° 03,SAN TELMO
Centro Educativo de Nivel Secundario N° 42,MONTSERRAT
Centro Educativo de Nivel Secundario N° 05 (sede),SAN NICOLAS
Esc. Primaria Común N° 13 Provincia de Santiago del Estero,MONTSERRAT
Jardín de Infantes Integral N° 04/03° El Jardín del Manzano,MONTSERRAT
Esc. Primaria Común N° 02 Fray Cayetano Rodriguez,MONTSERRAT
Jardín de Infantes Común N° 03/03° San Telmo,SAN TELMO
Inst. de Estudios para la Industria de la Construcción,SAN CRISTOBAL
Centro de Formación Profesional N° 26 (sede) - ADEF,SAN CRISTOBAL
CENOF Centro Sarmiento,BALVANERA
Centro de Formación Profesional N° 27 (sede) - Sindicato de Luz y Fuerza,SAN TELMO
Jardín de Infantes Nucleado C (EPCjc 11/02°),ALMAGRO
Centro Educativo de Nivel Secundario N° 62,SAN NICOLAS
Jardín de Infantes Integral N° 01/01°,PALERMO
Instituto de Formación Técnica Superior N° 12,MONTSERRAT
"Centro de Alfabetización, Educación Básica y Trabajo N° 49 Iglesia Rey Jesús",CONSTITUCION
Centro Educativo de Nivel Secundario N° 58,BALVANERA
Centro Educativo de Nivel Secundario N° 80,BALVANERA
Inst. Vocacional de Arte,CONSTITUCION
Centro Educativo de Nivel Secundario N° 36,SAN TELMO
Esc. Primaria p/Adultos N° 01 Valentin Gomez,SAN TELMO
Esc. Primaria Común N° 14 Cornelio Saavedra,BALVANERA
Jardín de Infantes Nucleado B (EPCjc 14/01°) [Sede],BALVANERA
Esc. Primaria Común N° 01 Valentín Gómez,SAN TELMO
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 03,SAN TELMO
UGEE N° 07 Bachillerato Popular de Adultos y Adolescentes Paulo Freire,SAN TELMO
Esc. de Educacion Media N° 07/04° Escuela de la Ribera,BOCA
Esc. Primaria Común N° 01 Alte. Guillermo Brown,BOCA
Esc. Primaria p/Adultos N° 02 Carlos Ramon Vignale,BOCA
Esc. Primaria Común N° 02 Carlos Ramón Vignale,BOCA
Jardín de Infantes Común N° 03/01°,PALERMO
Esc. Primaria Común N° 03 Juan María Gutierrez,BOCA
Jardín de Infantes Nucleado C (EPCjc 03/04°),BOCA
Esc. Primaria Común N° 13 Gral. San Martín,SAN NICOLAS
Esc. Primaria Común N° 04 José Jacinto Berrutti,BOCA
Esc. de Música N° 01,BOCA
Esc. Primaria Común N° 09 José Pedro Varela,BARRACAS
Jardín de Infantes Común N° 02/04° Carlos Della Penna,BOCA
Esc. Primaria Común N° 08 Carlos Della Penna,BOCA
CENOF Centro Museo Quinquela Martín,BOCA
Centro Educativo de Nivel Secundario N° 32,BOCA
Jardín de Infantes Integral N° 01/04° Benito Quinquela Martín,BOCA
Esc. Primaria Común N° 09 Benito Quinquela Martín,BOCA
Esc. Primaria Común N° 10 Gral. Araoz de Lamadrid,BOCA
Centro Educativo de Nivel Secundario N° 39,BOCA
Esc. Primaria Común N° 11 Antonio J. Bucich,BOCA
Jardín de Infantes Integral N° 04/04°,BOCA
Centro de Actividades Infantiles y Juveniles La Boca,BOCA
Esc. Primaria p/Adultos N° 13 República de Chile,BOCA
Jardín de Infantes Nucleado C (EPCjc 13/04°),BOCA
Esc. Primaria Común N° 14 Agustín Rafael Caffarena,BOCA
Esc. Primaria Común N° 18 Provincia de La Rioja,BOCA
Esc. Primaria Común N° 19 República Italiana,BOCA
Jardín de Infantes Nucleado C (EPCjc 19/04°),BOCA
Centro Educativo Complementario de Idiomas Extranjeros N° 04,SAN TELMO
Esc. Primaria Común N° 22 Dr. Guillermo Rawson,SAN TELMO
Esc. Primaria Común N° 24 Presidente Derqui,BARRACAS
Jardín de Infantes Nucleado C (EPCjs 24/04°),BARRACAS
Esc. Primaria Común N° 26 Hipolito Yrigoyen,SAN TELMO
Jardín de Infantes Integral N° 09/04°,SAN TELMO
CENOF Centro Defensa,SAN TELMO
Esc. Primaria Común N° 27 Deán Funes,SAN TELMO
Esc. Primaria Común N° 28 Francisco Pascasio Moreno,BARRACAS
Jardín de Infantes Nucleado C (EPCjc 28/04°) [Sede],BARRACAS
Centro Educativo de Nivel Secundario N° 45,BOCA
Esc. Primaria p/Adultos N° 29 Manuel Belgrano,BOCA
Colegio N° 11 Hipólito Yrigoyen,BARRACAS
Esc. de Comercio N° 01 Joaquín V. González,BARRACAS
"Centro de Alfabetización, Educación Básica y Trabajo",BARRACAS
Primera Infancia Espacio Barracas,BARRACAS
Esc. Politécnica Manuel Belgrano,MONTSERRAT
Esc. Técnica N° 01 Ing. Otto Krause,MONTSERRAT
Esc. Técnica N° 31 Maestro Quinquela,BOCA
Instituto de Formación Técnica Superior N° 32,SAN TELMO
Esc. Superior de Educación Artística en Artes Visuales Manuel Belgrano,BARRACAS
Centro Educativo de Nivel Secundario N° 51,BARRACAS
Escuela del Policlínico Bancario 9 de julio,CABALLITO
Centro de Formación Profesional N° 01,BARRACAS
