nombre,barrio
CLUB ATLETICO BOCA JUNIORS,Boca
CLUB ATLETICO COMERCIO,Nuñez
CLUB ATLETICO DEFENSORES DE BELGRANO,Nuñez
CLUB ATLETICO ESTUDIANTES,Villa Devoto
CLUB ATLETICO FENIX,Chacarita
CLUB ATLETICO INDEPENDIENTE,Flores
CLUB ATLETICO LOS VIEJOS MUCHACHOS (N.O.B.),Parque Chas
CLUB ATLÉTICO PIRAÑA,Parque Patricios
CLUB ATLETICO PLATENSE,Saavedra
CLUB ATLETICO RIVER PLATE,Belgrano
CLUB ATLETICO SAN LORENZO DE ALMAGRO,Monserrat
CLUB ATLETICO SAN LORENZO DE ALMAGRO,Flores
CLUB ATLETICO SAN LORENZO DE ALMAGRO,Boedo
CLUB ATLETICO VELEZ SARSFIELD,Versalles
CLUB ATLETICO VELEZ SARSFIELD,Liniers
CLUB BRISTOL,Parque Patricios
CLUB CENTRO NAVAL,Nuñez
CLUB CIUDAD DE BUENOS AIRES,Nuñez
CLUB COMUNICACIONES,Agronomia
CLUB DE AJEDREZ DE VILLA DEL PARQUE,Villa Del Parque
CLUB DE AJEDREZ JAQUE MATE ASOCIACION CIVIL,Constitucion
CLUB DE AMIGOS,Palermo
CLUB DE CORREDORES,Belgrano
CLUB DE GIMNASIA Y ESGRIMA DE VELEZ SARSFIELD,Villa Santa Rita
CLUB DE GIMNASIA Y ESGRIMA DE VILLA DEL PARQUE,Villa Del Parque
CLUB DEL PERSONAL DE DIRECCION DEL FERROCARRIL DOMINGO FAUSTINO SARMIENTO - FCDFS,Liniers
CLUB DE PELOTA Y ESGRIMA,Monserrat
CLUB DEPORTIVO ALBERDI,Parque Avellaneda
Club Deportivo Español,Parque Avellaneda
Club Deportivo Español,Villa Lugano
CLUB FERROCARRIL OESTE,Caballito
CLUB FULGOR DE VILLA CRESPO,Villa Crespo
CLUB GIMNASIA Y ESGRIMA DE BUENOS AIRES,Palermo
CLUB GIMNASIA Y ESGRIMA DE BUENOS AIRES,Palermo
CLUB GIMNASIA Y ESGRIMA DE BUENOS AIRES,San Nicolas
CLUB GIMNASIA Y ESGRIMA VILLA DEVOTO,Villa Devoto
CLUB HIPICO ARGENTINO,Belgrano
CLUB JUVENTUD DE BELGRANO,Colegiales
CLUB JUVENTUD DE NUÑEZ,Nuñez
"CLUB LINIERS NORTE SOCIAL, CULTURAL Y DEPORTIVO",Versalles
CLUB MIRIÑAQUE,Nueva Pompeya
CLUB MITRE,Velez Sarsfield
CLUB NAUTICO HACOAJ,Almagro
CLUB OESTE,Caballito
CLUB PUEYRREDON,Villa Pueyrredon
CLUB RACING DE VILLA DEL PARQUE,Villa Del Parque
CLUB RIACHUELO JUNIORS,Nueva Pompeya
"CLUB SOCIAL CULTURAL, DEPORTIVO Y BIBLIOTECA PEDRO LOZANO",Villa Devoto
