anio,porc_hogares,quintil_ing_familiar,sexo_jefe_hogar,tipo_hogar
2016,21.8,1° quintil,Mujer,TOTAL
2016,20.4,2° quintil,Mujer,TOTAL
2016,21.6,3° quintil,Mujer,TOTAL
2016,18.7,4° quintil,Mujer,TOTAL
2016,17.5,5° quintil,Mujer,TOTAL
2016,33.3,1° quintil,Mujer,Familiar
2016,21.5,2° quintil,Mujer,Familiar
2016,20.7,3° quintil,Mujer,Familiar
2016,15.7,4° quintil,Mujer,Familiar
2016,8.7,5° quintil,Mujer,Familiar
2016,9.8,1° quintil,Mujer,No familiar
2016,19.2,2° quintil,Mujer,No familiar
2016,22.6,3° quintil,Mujer,No familiar
2016,21.8,4° quintil,Mujer,No familiar
2016,26.6,5° quintil,Mujer,No familiar
2016,18.5,1° quintil,Varón,TOTAL
2016,19.6,2° quintil,Varón,TOTAL
2016,18.7,3° quintil,Varón,TOTAL
2016,21.0,4° quintil,Varón,TOTAL
2016,22.2,5° quintil,Varón,TOTAL
2016,21.7,1° quintil,Varón,Familiar
2016,21.8,2° quintil,Varón,Familiar
2016,19.9,3° quintil,Varón,Familiar
2016,20.1,4° quintil,Varón,Familiar
2016,16.4,5° quintil,Varón,Familiar
2016,10.3,1° quintil,Varón,No familiar
2016,14.0,2° quintil,Varón,No familiar
2016,15.7,3° quintil,Varón,No familiar
2016,23.3,4° quintil,Varón,No familiar
2016,36.7,5° quintil,Varón,No familiar
2017,19.1,1° quintil,Mujer,TOTAL
2017,23.3,2° quintil,Mujer,TOTAL
2017,20.1,3° quintil,Mujer,TOTAL
2017,19.6,4° quintil,Mujer,TOTAL
2017,18,5° quintil,Mujer,TOTAL
2017,30.2,1° quintil,Mujer,Familiar
2017,24.2,2° quintil,Mujer,Familiar
2017,19.3,3° quintil,Mujer,Familiar
2017,16.6,4° quintil,Mujer,Familiar
2017,9.6,5° quintil,Mujer,Familiar
2017,7.4,1° quintil,Mujer,No familiar
2017,22.3,2° quintil,Mujer,No familiar
2017,20.9,3° quintil,Mujer,No familiar
2017,22.7,4° quintil,Mujer,No familiar
2017,26.7,5° quintil,Mujer,No familiar
2017,18.9,1° quintil,Varón,TOTAL
2017,19.1,2° quintil,Varón,TOTAL
2017,19.7,3° quintil,Varón,TOTAL
2017,21.6,4° quintil,Varón,TOTAL
2017,20.7,5° quintil,Varón,TOTAL
2017,22,1° quintil,Varón,Familiar
2017,21.7,2° quintil,Varón,Familiar
2017,22.1,3° quintil,Varón,Familiar
2017,19.5,4° quintil,Varón,Familiar
2017,14.7,5° quintil,Varón,Familiar
2017,11.3,1° quintil,Varón,No familiar
2017,12.7,2° quintil,Varón,No familiar
2017,13.8,3° quintil,Varón,No familiar
2017,26.7,4° quintil,Varón,No familiar
2017,35.5,5° quintil,Varón,No familiar
2018,21.3,1° quintil,Mujer,TOTAL
2018,21.1,2° quintil,Mujer,TOTAL
2018,20.3,3° quintil,Mujer,TOTAL
2018,19.1,4° quintil,Mujer,TOTAL
2018,18.2,5° quintil,Mujer,TOTAL
2018,30.7,1° quintil,Mujer,Familiar
2018,23.5,2° quintil,Mujer,Familiar
2018,18.8,3° quintil,Mujer,Familiar
2018,16.5,4° quintil,Mujer,Familiar
2018,10.6,5° quintil,Mujer,Familiar
2018,19.1,1° quintil,Mujer,No familiar
2018,18.7,2° quintil,Mujer,No familiar
2018,19.8,3° quintil,Mujer,No familiar
2018,20.8,4° quintil,Mujer,No familiar
2018,21.6,5° quintil,Mujer,No familiar
2018,22.1,1° quintil,Varón,TOTAL
2018,22.5,2° quintil,Varón,TOTAL
2018,20.4,3° quintil,Varón,TOTAL
2018,19.3,4° quintil,Varón,TOTAL
2018,15.7,5° quintil,Varón,TOTAL
2018,22.1,1° quintil,Varón,Familiar
2018,22.5,2° quintil,Varón,Familiar
2018,20.4,3° quintil,Varón,Familiar
2018,19.3,4° quintil,Varón,Familiar
2018,15.7,5° quintil,Varón,Familiar
2018,11.6,1° quintil,Varón,No familiar
2018,9.1,2° quintil,Varón,No familiar
2018,18.4,3° quintil,Varón,No familiar
2018,24.5,4° quintil,Varón,No familiar
2018,36.6,5° quintil,Varón,No familiar
2019,21.8,1° quintil,Mujer,TOTAL
2019,20,2° quintil,Mujer,TOTAL
2019,20.1,3° quintil,Mujer,TOTAL
2019,20.3,4° quintil,Mujer,TOTAL
2019,17.9,5° quintil,Mujer,TOTAL
2019,31.3,1° quintil,Mujer,Familiar
2019,21.4,2° quintil,Mujer,Familiar
2019,19.6,3° quintil,Mujer,Familiar
2019,17.7,4° quintil,Mujer,Familiar
2019,10.1,5° quintil,Mujer,Familiar
2019,12.8,1° quintil,Mujer,No familiar
2019,18.6,2° quintil,Mujer,No familiar
2019,20.5,3° quintil,Mujer,No familiar
2019,22.8,4° quintil,Mujer,No familiar
2019,25.3,5° quintil,Mujer,No familiar
2019,17.7,1° quintil,Varón,TOTAL
2019,20.6,2° quintil,Varón,TOTAL
2019,20,3° quintil,Varón,TOTAL
2019,19.5,4° quintil,Varón,TOTAL
2019,22.2,5° quintil,Varón,TOTAL
2019,22.4,1° quintil,Varón,Familiar
2019,23.5,2° quintil,Varón,Familiar
2019,20.1,3° quintil,Varón,Familiar
2019,18,4° quintil,Varón,Familiar
2019,16.1,5° quintil,Varón,Familiar
2019,8.7,1° quintil,Varón,No familiar
2019,14.9,2° quintil,Varón,No familiar
2019,20,3° quintil,Varón,No familiar
2019,22.3,4° quintil,Varón,No familiar
2019,34.1,5° quintil,Varón,No familiar
